Play	Main
You need to be wearing this armor to use its special power!	Anda harus memakai zirah ini untuk mengunakan kekuatan spesialnya!
cloth armor	zirah kain
This lightweight armor offers basic protection.	Zirah ringan ini memberikan pertahanan dasar.
huntress cloak	jubah pemburu
A huntress in such cloak can create a fan of spectral blades. Each of these blades will target a single enemy in the huntress's field of view, inflicting damage depending on her currently equipped melee weapon.	Pemburu dengan jubah seperti itu dapat membuat kipas dari bilah spektral. Masing-masing bilah ini akan menargetkan satu musuh di bidang pandang pemburu, menimbulkan kerusakan tergantung pada senjata jarak dekat yang digunakannya saat ini.
SPECTRAL BLADES	Pedang Spektral
No enemies in sight	Tidak ada musuh di pandangan
Only huntresses can use this armor!	Hanya pemburu yang dapat menggunakan zirah ini!
leather armor	zirah kulit
Armor made from tanned monster hide. Not as light as cloth armor but provides better protection.	Zirah yang dibuat dari samakan kulit monster. Tidak seringan zirah kain tapi memberikan pertahanan lebih kuat.
mage robe	jubah penyihir
Wearing this gorgeous robe, a mage can cast a spell of molten earth: all the enemies in his field of view will be set on fire and unable to move at the same time.	Jika menggunakan jubah indah ini, seorang penyihir dapat mengeluarkan mantra dari dunia cair: semua musuh di pandangannya akan terbakar dan tidak dapat bergerak di waktu yang sama.
MOLTEN EARTH	DUNIA CAIR
Only mages can use this armor!	Hanya penyihir yang dapat menggunakan zirah ini!
mail armor	zirah rantai
Interlocking metal links make for a tough but flexible suit of armor.	Sambungan logam-logam yang terkait sebagai zirah yang kuat dan fleksibel.
plate armor	Lempeng zirah
Enormous plates of metal are joined together into a suit that provides unmatched protection to any adventurer strong enough to bear its staggering weight.	Lempeng-lempeng logam yang besar digabungkan menjadi sebuah terusan yang memberikan pertahanan tak tertandingi untuk semua petualang yang cukup kuat menanggung beratnya.
rogue garb	pakaian penjahat
Wearing this dark garb, a rogue can perform a trick, that is called "smoke bomb" (though no real explosives are used): he blinds enemies who could see him and jumps aside.	Saat mengenakan pakaian gelap ini, seorang penjahat dapat melakukan sebuah trik, yang dinamakan "bom asap" (walaupun tidak ada peledak asli yang digunakan): dia dapat membutakan musuh yang dapat melihatnya dan pergi menghindari.
SMOKE BOMB	BOM ASAP
Only rogues can use this armor!	Hanya penjahat yang dapat menggunakan zirah ini!
You can only jump to an empty location in your field of view	Anda hanya dapat melompat ke tempat yang kosong di pandangan Anda
Choose a location to jump to	Pilih tempat untuk melompat
scale armor	zirah sisik
The metal scales sewn onto a leather vest create a flexible, yet protective armor.	Sisik-sisik logam dibentuk pada rompi kulit untuk membuat zirah kuat dan fleksibel.
warrior suit of armor	zirah untuk pejuang
While this armor looks heavy, it allows a warrior to perform heroic leap towards a targeted location, slamming down to stun all neighboring enemies.	Walaupun zirahnya kelihatan berat, zirah ini memperbolehkan pejuang untuk melakukan lompatan heroik ke lokasi yang ditargetkan, menghantam ke bawah untuk memusingkan musuh.
HEROIC LEAP	LOMPATAN HEROIK
Only warriors can use this armor!	Hanya pejuang yang dapat menggunakan zirah ini!
Choose direction to leap	Pilih arah untuk melompat
%s of affection	%s ketertarikan
%s of anti-entropy	%santi-entropi
%s of bounce	%s pemantulan
%s of displacement	%s pemindahan
%s of entanglement	%s ketersangkutan
%s of metabolism	%s metabolisme
%s of multiplicity	%s penggandaan
%s of potential	%sledakan
%s of stench	%s kebusukan
%s of viscosity	%s kelekatan
deferred %d	penundaan %d
Defered damage (%d)	Kerusakan Ditangguhkan (%d)
OPEN	BUKA
key ring	gantungan kunci
This is a copper key ring, that lets you keep all your keys separately from the rest of your belongings.	Ini adalah gantungan kunci tembaga, yang memungkinkan Anda menyimpan semua kunci Anda secara terpisah dari barang-barang Anda yang lain.
scroll holder	tempat gulungan kertas
You can place any number of scrolls into this tubular container. It saves room in your backpack and protects scrolls from fire.	Anda dapat menempatkan sejumlah gulungan ke dalam wadah tubular ini. Ini menghemat ruang di ransel Anda dan melindungi gulungan dari api.
seed pouch	kantong benih
This small velvet pouch allows you to store any number of seeds in it. Very convenient.	Kantong beludru kecil ini memungkinkan Anda menyimpan sejumlah biji di dalamnya. Sangat mudah.
wand holster	sarung tongkat
This slim holder is made of leather of some exotic animal. It allows to compactly carry up to %d wands.	Pemegang ramping ini terbuat dari kulit beberapa hewan eksotis. Ini memungkinkan untuk membawa hingga %d tongkat secara kompak.
ration of food	ransum makanan
Nothing fancy here: dried meat, some biscuits - things like that.	Tidak ada yang berkualitas tinggi disini: daging kering, beberapa biskuit - sesuatu seperti itu.
That food tasted delicious!	Makanan itu terasa lezat!
chargrilled meat	daging bakar
It looks like a decent steak.	Terlihat seperti daging sapi layak makan.
frozen carpaccio	carpaccio beku
It's a piece of frozen raw meat. The only way to eat it is by cutting thin slices of it. And this way it's surprisingly good.	Ini adalah sepotong daging mentah beku. Satu-satunya cara untuk memakannya adalah memotongnya menjadi potongan tipis. Dan cara ini sangat bagus.
You feel your skin hardens!	Anda merasa kulit anda mengeras!
Refreshing!	Menyegarkan!
You feel better!	Anda merasa lebih baik!
mystery meat	daging misterius
Eat at your own risk!	Makan dan tanggung risiko anda sendiri!
Oh it's hot!	Oh ini panas!
You can't feel your legs!	Anda tidak dapat merasakan kaki anda!
You are not feeling well.	Anda tidak merasa baik.
You are stuffed.	Anda kenyang.
That food tasted... strange.	Makanan itu terasa... aneh.
overpriced food ration	ransum makanan mahal
It looks exactly like a standard ration of food but smaller.	Terlihat sama seperti ransum makanan standar tapi lebih kecil.
That food tasted good.	Makanan itu terasa lumayan.
pasty	pastel
This is authentic Cornish pasty with traditional filling of beef and potato.	Ini adalah pastel jagung autentik dengan isi tradisional berupa daging sapi dan kentang.
golden key	kunci emas
The notches on this golden key are tiny and intricate. Maybe it can open some chest lock?	Takik pada kunci emas ini kecil dan rumit. Mungkin itu bisa membuka peti yang di kunci?
iron key	kunci besi
The notches on this ancient iron key are well worn; its leather lanyard is battered by age. What door might it open?	Takik pada kunci besi kuno ini sudah usang; tali kulitnya rusak dimakan usia. Pintu apa yang mungkin terbuka?
iron key from depth %d	Kunci besi dari kedalaman %d
skeleton key	kunci tengkorak
This key looks serious: its head is shaped like a skull. Probably it can open some serious door.	Kunci ini terlihat serius: kepalanya berbentuk seperti tengkorak. Mungkin itu bisa membuka pintu yang serius.
%s potion	Ramuan %s
This flask contains a swirling %s liquid. Who knows what it will do when drunk or thrown?	Botol ini terisi dengan cairan %s yang berputar-putar. Siapa yang tahu apa yang akan terjadi saat diminum atau dilempar?
DRINK	MINUM
Harmful potion!	Ramuan berbahaya!
Beneficial potion	Ramuan bermanfaat
Are you sure you want to drink it? In most cases you should throw such potions at your enemies.	Apa Anda yakin untuk meminum ini? Di kebanyakan keadaan Anda harusnya melemparkan ramuan seperti ini ke musuh Anda.
Are you sure you want to throw it? In most cases it makes sense to drink it.	Apakah Anda yakin untuk melempar ini? Di kebanyakan keadaan lebih masuk akal untuk meminum ini.
The flask shatters and %s liquid splashes harmlessly	Botolnya pecah dan cairan %s terpercik dengan tidak membahayakan
turquoise	toska
jade	giok
golden	emas
magenta	magenta
indigo	nila
silver	perak
Potion of Experience	Ramuan Pengalaman
The storied experiences of multitudes of battles reduced to liquid form, this draught will instantly raise your experience level.	Pengalaman panjang dari berbagai perang dibentuk menjadi bentuk cair, tegukan ramuan ini akan meningkatkan tingkat pengalaman Anda secara instan.
Potion of Frost	Ramuan Pembekuan
Upon exposure to open air, this chemical will evaporate into a freezing cloud, causing any creature that contacts it to be frozen in place, unable to act and move.	Saat terkena dengan udara luar, ramuan ini akan menguap menjadi awan dingin, menyebabkan semua makhluk yang menyentuhnya menjadi beku di tempat, dan tidak dapat melakukan sesuatu dan bergerak.
Potion of Healing	Ramuan Penyembuhan
An elixir that will instantly return you to full health and cure poison.	Ramuan yang secara instan akan mengembalikan semua nyawa Anda dan menyembuhkan racun.
Your wounds heal completely.	Luka Anda sembuh total.
Potion of Invisibility	Ramuan Tidak Terlihat
Drinking this potion will render you temporarily invisible. While invisible, enemies will be unable to see you. Attacking an enemy, as well as using a wand or a scroll before enemy's eyes, will dispel the effect.	Meminum ramuan ini akan membuat Anda tidak terlihat sementara. Selama tidak terlihat, musuh tidak dapat melihat Anda. Menyerang musuh, dan juga mengunakan tongkat atau gulungan di hadapan mata musuh, akan menghilangkan efeknya.
Potion of Levitation	Ramuan Pengangkat
Drinking this curious liquid will cause you to hover in the air, able to drift effortlessly over traps. Flames and gases fill the air, however, and cannot be bypassed while airborne.	Meminum cairan aneh ini akan membuat Anda melayang-layang di udara, mampu melayang dengan mudah di atas perangkap. Api dan gas mengisi udara, bagaimanapun, dan tidak dapat dilewati saat mengudara.
You float into the air!	Anda melayang di udara!
Potion of Liquid Flame	Ramuan Api Cair
This flask contains an unstable compound which will burst violently into flame upon exposure to open air.	Botol ini berisi campuran yang tidak stabil yang akan terbakar saat bersentuhan dengan udara luar.
Potion of Might	Ramuan Kehebatan
This powerful liquid will course through your muscles, permanently increasing your strength by one point and health by five points.	Ramuan kuat ini akan bergerak melalui otot Anda, secara permanen meningkatkan kekuatan Anda sebanyak satu poin dan nyawa sebanyak lima poin.
+1 str, +5 ht	+1 kekuatan, +5 nyawa
Potion of Mind Vision	Ramuan Pandangan Jernih
After drinking this, your mind will become attuned to the psychic signature of distant creatures, enabling you to sense biological presences through walls. Also this potion will permit you to see through nearby walls and doors.	Setelah meminum ini, pikiran Anda akan terbuka dengan ciri fisik dari makhluk di sekitar, memperbolehkan Anda untuk merasakan keberadaan makhluk di balik tembok. Ramuan ini juga memperbolehkan Anda untuk melihat menembus tembok dan pintu di dekat Anda.
You can somehow feel the presence of other creatures' minds!	Anda seperti dapat merasakan keberadaan pikiran makhluk lain.
You can somehow tell that you are alone on this level at the moment.	Anda seperti dapat memberitahukan bahwa Anda sendirian di tingkat ini sekarang.
Potion of Paralytic Gas	Ramuan Gas Melumpuhkan
Upon exposure to open air, the liquid in this flask will vaporize into a numbing yellow haze. Anyone who inhales the cloud will be paralyzed instantly, unable to move for some time after the cloud dissipates. This item can be thrown at distant enemies to catch them within the effect of the gas.	Saat terkena dengan udara luar, cairan di botol ini akan menguap menjadi asap kuning yang melumpuhkan. Semuanya yang terkena asap ini akan terlumpuhkan secara instan, tak dapat bergerak untuk beberapa waktu setelah asapnya menghilang. Item ini dapat dilemparkan ke musuh terdekat untuk memberikan mereka efek gas tersebut.
Potion of Purification	Ramuan Pemurnian
This reagent will quickly neutralize all harmful gases in the area of effect. Drinking it will give you a temporary immunity to such gases.	Bahan ini akan langsung menghilangkan semua gas mematikan di suatu area. Meminum ini akan memberikan Anda kekebalan sementara dari gas seperti itu.
You feel uncommon freshness in the air.	Anda merasakan kesegaran tak biasa di udara.
You've stopped sensing any smells!	Anda telah berhenti merasakan bau apapun!
Potion of Strength	Ramuan Kekuatan
This powerful liquid will course through your muscles, permanently increasing your strength by one point.	Ramuan kuat ini akan bergerak melalui otot Anda, secara permanen meningkatkan kekuatan Anda sebanyak satu poin.
Newfound strength surges through your body.	Kekuatan yang baru ditemukan mengalir di tubuh Anda.
+1 str	+1 kekuatan
Potion of Toxic Gas	Ramuan Gas Beracun
Uncorking or shattering this pressurized glass will cause its contents to explode into a deadly cloud of toxic green gas. You might choose to fling this potion at distant enemies instead of uncorking it by hand.	Membuka atau memecahkan botol bertekanan ini akan menyebabkan isinya meledak menjadi asap hijau beracun yang mematikan. Anda dapat memilih untuk melemparkan ramuan ini ke musuh terdekat daripada membuka ramuan ini dengan tangan.
corpse dust	debu mayat
The ball of corpse dust doesn't differ outwardly from a regular dust ball. However, you know somehow that it's better to get rid of it as soon as possible.	Bola debu mayat tidak berbeda secara lahiriah dari bola debu biasa. Namun, entah bagaimana Anda tahu bahwa lebih baik menyingkirkannya sesegera mungkin.
dark gold ore	biji emas gelap
This metal is called dark not because of its color (it doesn't differ from the normal gold), but because it melts under the daylight, making it useless on the surface.	Logam ini disebut gelap bukan karena warnanya (tidak berbeda dengan emas biasa), tetapi karena meleleh di bawah sinar matahari, sehingga tidak berguna di permukaan.
dried rose	mawar kering
The rose has dried long ago, but it has kept all its petals somehow.	Mawar ini sudah lama kering, namun entah bagaimana semua kelopaknya utuh.
dwarf token	koin kurcaci
Many dwarves and some of their larger creations carry these small pieces of metal of unknown purpose. Maybe they are jewelry or maybe some kind of ID. Dwarves are strange folk.	Banyak kurcaci dan ciptaannya yang lebih besar membawa metal kecil ini tanpa tujuan yang jelas. Mungkin ini perhiasan atau seperti tanda pengenal mereka. Kurcaci adalah kaum yang aneh.
EAT	MAKAN
You see your hands turn invisible!	Anda melihat tangan anda menjadi tidak terlihat!
pickaxe	beliung
This is a large and sturdy tool for breaking rocks. Probably it can be used as a weapon.	Ini adalah alat yang besar dan kokoh untuk memecahkan batu. Itu mungkin bisa digunakan sebagai senjata.
MINE	TAMBANG
There is no dark gold vein near you to mine	Tidak ada emas gelap disekitarmu yang bisa digali
giant rat skull	tengkorak tikus raksasa
It could be a nice hunting trophy, but it smells too bad to place it on a wall.	Ini bisa menjadi piala berburu yang bagus, tetapi baunya terlalu buruk untuk diletakkan di dinding.
%s ring	%s cincin
This metal band is adorned with a large %s gem that glitters in the darkness. Who knows what effect it has when worn?	Cincin besi ini berhiaskan permata %s besar yang berkilauan di kegelapan. Siapa yang tau apa efeknya ketika permata itu mati
you are now familiar enough with your %1$s to identify it. It is %2$s.	sekarang Anda sudah mengenal %1$s Anda dengan cukup baik untuk mengenalinya. Ini adalah %2$s.
diamond	berlian
opal	opal
garnet	batu delima
ruby	permata
amethyst	kecubung
topaz	Topaz
onyx	oniks
tourmaline	turmalin
emerald	zamrud
sapphire	safir
quartz	kuarsa
agate	batu akik
Your %s tightens around your finger painfully	%s mu menyempit disekitar jarimu serasa menyakitkan
%1$s\n\nThe %2$s is on your finger %3$s.	%1$s\n\n %2$s sedang di jarimu %3$s
, and because it is cursed, you are powerless to remove it	Dan karena benda itu terkutuk, kamu kurang kuat untuk melepaskannya
%1$s\n\nYou can feel a malevolent magic lurking within the %2$s.	%1$s\n\n kamu dapat merasakan sihir jahat yang mengintai di dalam%2$s
This is a %s	Ini adalah %s
Ring of Accuracy	Cincin Akurasi
This ring increases your chance to hit the enemy.	Cincin ini meningkatkan peluangmu untuk mengenai musuh.
Ring of Detection	Cincin deteksi
Wearing this ring will allow the wearer to notice hidden secrets - traps and secret doors - without taking time to search. Degraded rings of detection will dull your senses, making it harder to notice secrets even when actively searching for them.	Memakai cincin ini akan membolehkan pemakainya menyadari rahasia tersembunyi - jebakan dan pintu rahasia - tanpa memakan waktu untuk mencarinya. cincin deteksi yang berkualitas buruk akan menumpulkan perasaanmu, membuatmu sulit menyadari sebuah rahasia bahkan ketika secara aktif mencari mereka.
Ring of Elements	Cincin Elemen
This ring provides resistance to different elements, such as fire, electricity, gases etc. Also it decreases duration of negative effects.	Cincin ini memberikan ketahanan terhadap bermacam elemen, seperti api, listrik, gas dll. Juga mengurangi durasi dari efek negatif.
Ring of Evasion	Cincin penghindaran
This ring increases your chance to dodge enemy attack.	Cincin ini meningkatkan peluangmu untuk menghindari serangan musuh.
Ring of Haggler	Cincin Tawar Menawar
In fact this ring doesn't provide any magic effect, but it demonstrates to shopkeepers and vendors, that the owner of the ring is a member of The Thieves' Guild. Usually they are glad to give a discount in exchange for temporary immunity guarantee. Upgrading this ring won't give any additional bonuses.	Faktanya cincin ini tidak memberikan efek magis apapun, tapi ini berlaku untuk penjaga toko dan pedagang keliling, pemilik dari cincin ini adalah anggota dari serikat pencuri. biasanya mereka dengan senang hati memberikan diskon untuk ditukar dengan jaminan kekebalan sementara. meningkatkan cincin ini tidak akan memberikan bonus tambahan
Ring of Haste	Cincin Gegabah
This ring accelerates the wearer's flow of time, allowing one to perform all actions a little faster.	Cincin ini mempercepat jalannya waktu si pemakai, memperbolehkan seseorang melakukan semua aksi sedikit lebih cepat
Ring of Herbalism	Cincin Herbal
This ring increases your chance to gather dew and seeds from trampled grass.	Cincin ini meningkatkan peluangmu untuk mengambil embun dan biji dari rumput yang terinjak.
Ring of Mending	Cincin Perbaikan
This ring increases the body's regenerative properties, allowing one to recover lost health at an accelerated rate. Degraded rings will decrease or even halt one's natural regeneration.	Cincin ini meningkatkan efek regenerasi tubuh, memperbolehkan seseorang untuk mengembalikan nyawa hilang di tingkat yang dipercepat.
Ring of Power	Cincin kekuatan
Your wands will become more powerful in the energy field that radiates from this ring. Degraded rings of power will instead weaken your wands.	tongkat sihirmu akan menjadi lebih kuat didalam kolom energi yang dipancarkan dari Cincin ini. Cincin kekuatan tingkat rendah akan melemahkan tongkat sihirmu.
Ring of Satiety	Cincin Rasa Kenyang
Wearing this ring you can go without food longer. Degraded rings of satiety will cause the opposite effect.	Kamu bisa bertahan lebih lama tanpa makan dengan cincin ini. Cincin rasa kenyang yang rusak berdampak sebaliknya.
Ring of Shadows	Cincin Bayangan
Enemies will be less likely to notice you if you wear this ring. Degraded rings of shadows will alert enemies who might otherwise not have noticed your presence.	Musuh semakin jarang menyadarimu dengan cincin ini. Cincin Bayangan rusak akan membuat musuh sadar posisimu meski biasanya tidak.
Ring of Thorns	Cincin Berduri
Though this ring doesn't provide real thorns, an enemy that attacks you will itself be wounded by a fraction of the damage that it inflicts. Upgrading this ring won't give any additional bonuses.	Meski tidak punya duri sungguhan, musuh yang akan terkena sebagian dampak serangan mereka. Mengembangkan cincin ini tidak memberi bonus tambahan.
scroll "%s"	Gulungan "%s"
This parchment is covered with indecipherable writing, and bears a title of rune %s. Who knows what it will do when read aloud?	Perkamen ini ditutupi dengan tulisan tak terbaca, dan menyandang gelar rune %s. Siapa yang tahu apa yang akan dilakukannya ketika dibacakan?
KAUNAN	KAUNAN
SOWILO	SOWILO
LAGUZ	LAGUZ
YNGVI	YNGVI
GYFU	GYFU
RAIDO	RAIDO
ISAZ	ISAZ
MANNAZ	MANNAZ
NAUDIZ	NAUDIZ
BERKANAN	BERKANAN
ODAL	ODAL
TIWAZ	TIWAZ
Select an item	Pilih item
Do you really want to cancel this scroll usage? It will be consumed anyway.	Apakah Anda benar-benar ingin membatalkan penggunaan gulungan ini? Bagaimanapun juga akan dikonsumsi.
Yes, I'm positive	Ya, saya positif
Scroll of Challenge	Gulungan tantangan
When read aloud, this scroll will unleash a challenging roar that will awaken all monsters and alert them to the reader's location.	Saat dibacakan, gulungan ini akan mengeluarkan raungan menantang yang akan membangunkan semua monster dan mengingatkan mereka ke lokasi pembaca.
The scroll emits a challenging roar that echoes throughout the dungeon!	Gulungan itu mengeluarkan raungan menantang yang bergema di seluruh ruang bawah tanah!
Scroll of Identify	Gulungan identifikasi
Permanently reveals all of the secrets of a single item.	Secara permanen mengungkapkan semua rahasia dari satu item.
Select an item to identify	Pilih item untuk diidentifikasi
It is %s	Ini adalah %s
Scroll of Lullaby	Gulungan Nina Bobo
A soothing melody will put all creatures in your field of view into a deep sleep, giving you a chance to flee or make a surprise attack on them.	Melodi yang menenangkan akan membuat semua makhluk di bidang pandang Anda tertidur lelap, memberi Anda kesempatan untuk melarikan diri atau melakukan serangan mendadak pada mereka.
The scroll utters a soothing melody.	Gulungan itu mengucapkan melodi yang menenangkan.
The scroll utters a soothing melody and the %s falls asleep!	Gulungan mengucapkan melodi yang menenangkan dan %s tertidur!
The scroll utters a soothing melody and the monsters fall asleep!	Gulungan itu mengucapkan melodi yang menenangkan dan monster-monster itu tertidur!
Scroll of Magic Mapping	Gulungan Pemetaan Sihir
When this scroll is read, an image of crystal clarity will be etched into your memory, alerting you to the precise layout of the level and revealing all hidden secrets. The locations of items and creatures will remain unknown.	Saat gulungan ini dibaca, gambar kejernihan kristal akan terukir ke dalam memori Anda, mengingatkan Anda tentang tata letak level yang tepat dan mengungkapkan semua rahasia tersembunyi. Lokasi item dan makhluk akan tetap tidak diketahui.
You are now aware of the level layout.	Anda sekarang mengetahui tata letak level.
Scroll of Mirror Image	Gulungan Bayangan cermin
The incantation on this scroll will create illusionary twins of the reader, which will chase his enemies.	Mantra pada gulungan ini akan menciptakan kembaran ilusi dari pembaca, yang akan mengejar musuh-musuhnya.
Scroll of Psionic Blast	Gulungan Ledakan Psionik
This scroll contains destructive energy, that can be psionically channeled to inflict a massive damage to all creatures within a field of view. An accompanying flash of light will temporarily blind everybody in the area of effect including the reader of the scroll.	Gulungan ini mengandung energi destruktif, yang dapat disalurkan secara psikis untuk menimbulkan kerusakan besar pada semua makhluk dalam bidang pandang. Kilatan cahaya yang menyertainya akan membutakan sementara semua orang di area efek termasuk pembaca gulungan.
Scroll of Recharging	Gulungan isi ulang
The raw magical power bound up in this parchment will, when released, recharge all of the reader's wands to full power.	Kekuatan magis mentah yang terikat dalam perkamen ini, ketika dilepaskan, akan mengisi ulang semua tongkat pembaca dengan kekuatan penuh.
a surge of energy courses through your pack, recharging your wand	gelombang aliran energi melalui paket Anda, mengisi ulang tongkat Anda
a surge of energy courses through your pack, recharging your wands	gelombang aliran energi melalui paket Anda, mengisi ulang tongkat Anda
a surge of energy courses through your pack, but nothing happens	gelombang aliran energi melalui paket Anda, tetapi tidak ada yang terjadi
Scroll of Remove Curse	Gulungan Penghilang Kutukan
The incantation on this scroll will instantly strip from the reader's weapon, armor, rings and carried items any evil enchantments that might prevent the wearer from removing them.	Mantra pada gulungan ini akan langsung melepaskan dari senjata pembaca, baju besi, cincin dan membawa item mantra jahat apa pun yang mungkin mencegah pemakainya untuk melepaskannya.
Your pack glows with a cleansing light, and a malevolent energy disperses.	Paket Anda bersinar dengan cahaya pembersih, dan energi jahat menyebar.
Your pack glows with a cleansing light, but nothing happens.	Paket Anda bersinar dengan cahaya pembersih, tetapi tidak ada yang terjadi.
Scroll of Teleportation	Gulungan Teleportasi
The spell on this parchment instantly transports the reader to a random location on the dungeon level. It can be used to escape a dangerous situation, but the unlucky reader might find himself in an even more dangerous place.	Mantra pada perkamen ini langsung membawa pembaca ke lokasi acak di tingkat penjara bawah tanah. Ini dapat digunakan untuk melarikan diri dari situasi berbahaya, tetapi pembaca yang tidak beruntung mungkin menemukan dirinya di tempat yang lebih berbahaya.
In a blink of an eye you were teleported to another location of the level.	Dalam sekejap mata Anda diteleportasi ke lokasi lain dari level tersebut.
Strong magic aura of this place prevents you from teleporting!	Aura sihir yang kuat dari tempat ini mencegahmu dari teleportasi!
Scroll of Terror	Gulungan Teror
A flash of red light will overwhelm all creatures in your field of view with terror, and they will turn and flee. Attacking a fleeing enemy will dispel the effect.	Kilatan lampu merah akan membanjiri semua makhluk di bidang pandang Anda dengan teror, dan mereka akan berbalik dan melarikan diri. Menyerang musuh yang melarikan diri akan menghilangkan efeknya.
The scroll emits a brilliant flash of red light	Gulungan itu memancarkan kilatan cahaya merah yang cemerlang
The scroll emits a brilliant flash of red light and the %s flees!	Gulungan memancarkan kilatan cahaya merah yang cemerlang dan %s melarikan diri!
The scroll emits a brilliant flash of red light and the monsters flee!	Gulungan itu memancarkan kilatan cahaya merah yang cemerlang dan monster-monster itu melarikan diri!
Scroll of Upgrade	Gulungan peningkatan
This scroll will upgrade a single item, improving its quality. A wand will increase in power and in number of charges; a weapon will inflict more damage or find its mark more frequently; a suit of armor will deflect additional blows; the effect of a ring on its wearer will intensify. Weapons and armor will also require less strength to use, and any curses on the item will be lifted.	gulungan ini akan meningkatkan satu item, meningkatkan kualitasnya. Sebuah tongkat akan meningkatkan kekuatan dan jumlahnya dari casnya ; senjata menimbulkan lebih banyak kerusakan atau menemukan tandanya lebih sering;zirah akan menangkis pukulan tambahan; efek cincin pada nya pemakainya akan meningkat. senjata dan zirah juga akan membutuhkan lebih sedikit kekuatan untuk digunakan, dan kutukan apa pun pada item itu akan diangkat.
Select an item to upgrade	Pilih item untuk ditingkatkan
READ	BACA
You can't read a scroll while blinded	Anda tidak dapat membaca gulungan saat dibutakan
%s wand	%s Tongkat
ZAP	TEMBAK
This thin %s wand is warm to the touch. Who knows what it will do when used?	Tongkat tipis %s ini hangat saat disentuh. siapa yang tahu apa yang akan dilakukan ketika digunakan?
When this wand is used as a melee weapon, its average damage is %d points per hit.	Saat tongkat ini digunakan sebagai senjata jarak dekat, kerusakan rata-ratanya adalah %d poin per hit.
You can use this wand as a melee weapon.	Anda Dapat Menggunakan Tongkat Ini Sebagai senjata jarak dekat.
your wand fizzles; it must be out of charges for now	Tongkat anda berdesis; mungkin untuk sekarang kehabisan cas
You can't target yourself	Anda tidak dapat menargetkan diri sendiri
Choose direction to zap	Pilih arah untuk menembak
ebony	kayu hitam
cherry	ceri
teak	kayu jati
mahogany	mahoni
bamboo	bambu
purpleheart	hati ungu
oak	ek
Wand of Amok	Tongkat Amuk
The purple light from this wand will make the target run amok attacking random creatures in its vicinity.	Cahaya ungu dari tongkat ini akan membuat target mengamuk, menyerang makhluk acak di sekitarnya.
Wand of Avalanche	Tongkat Longsor
When a discharge of this wand hits a wall (or any other solid obstacle) it causes an avalanche of stones, damaging and stunning all creatures in the affected area.	Ketika pelepasan tongkat ini mengenai dinding (atau rintangan padat lainnya) itu menyebabkan longsoran batu, merusak dan membuat semua makhluk di area yang terkena dampak stun.
You killed yourself with your own Wand of Avalanche...	Kamu menghancurkan dirimu sendiri dengan tongkat Longsor milikmu sendiri
Wand of Blink	tongkat teleportasi
This wand will allow you to teleport in the chosen direction. Creatures and inanimate obstructions will block the teleportation.	Tongkat ini akan memungkinkan Anda untuk berteleportasi ke arah yang dipilih makhluk dan benda mati yang terhalang akan memblokir teleportasi.
Wand of Disintegration	Tongkat Kehacuran
This wand emits a beam of destructive energy, which pierces all creatures in its way. The more targets it hits, the more damage it inflicts to each of them.	Tongkat ini memancarkan sinar energi penghancur, yang menembus semua makhluk di jalannya. Semakin banyak target yang terkena, semakin banyak kerusakan yang ditimbulkannya pada masing-masing dari mereka.
Wand of Firebolt	Tongkat Api
This wand unleashes bursts of magical fire. It will ignite flammable terrain, and will damage and burn a creature it hits.	Tongkat sihir ini melepaskan semburan api magis. Ini akan menyalakan medan yang mudah terbakar, dan akan merusak dan membakar makhluk yang terkena.
You killed yourself with your own Wand of Firebolt...	Kau membakar dirimu sendiri dengan tongkat apimu sendiri...
Wand of Flock	Tongkat kawanan
A flick of this wand summons a flock of magic sheep, creating temporary impenetrable obstacle.	Jentikan tongkat ini memanggil sekawanan domba ajaib menciptakan hambatan sementara yang tidak dapat ditembus.
sheep	domba
This is a magic sheep. What's so magical about it? You can't kill it. It will stand there until it magically fades away, all the while chewing cud with a blank stare.	Ini domba ajaib. Apa yang begitu ajaib tentang itu? Anda tidak dapat membunuhnya. Itu akan berdiri di tempatnya sampai secara ajaib menghilang, sambil mengunyah makanan dengan tatapan kosong.
Baa!	Baa!
Baa?	mbek?
Baa.	mbek.
Baa...	Baa...
Bee...	Bee...
Ble...	Ble...
Wand of Lightning	tongkat petir
This wand conjures forth deadly arcs of electricity, which deal damage to several creatures standing close to each other.	Tongkat ini memunculkan busur listrik yang mematikan, yang akan memberikan kerusakan pada beberapa makhluk yang berdiri berdekatan satu sama lain.
You killed yourself with your own Wand of Lightning...	Kau menyerang dirimu sendiri dengan Tongkat Petirmu sendiri...
Wand of Magic Missile	Tongkat Rudal Ajaib
This wand launches missiles of pure magical energy, dealing moderate damage to a target creature.	Tongkat ini meluncurkan rudal energi magis murni, memberikan kerusakan sedang pada target.
DISENCHANT	NONSIHIR
You killed yourself with your own Wand of Magic Missile...	Anda membunuh diri sendiri dengan Rudal Tongkat Sihir Anda sendiri...
Select a wand to upgrade	pilih tongkat untuk di tingkatkan
you disenchanted the Wand of Magic Missile and used its essence to upgrade your %s	Anda mengnonsihirkan Tongkat Sihir Rudal dan menggunakan esensinya untuk meningkatkan %s
Wand of Poison	Tongkat Racun
