Pixel Dungeon	點陣地城
enchantment of viscosity	黏滯附魔
Defered damage (%d)	延時傷害（%d）
The enchantment of viscosity killed you...	黏滯附魔殺死了你...
OPEN	開啟
key ring	鑰匙圈
This is a copper key ring, that lets you keep all your keys separately from the rest of your belongings.	這是個銅製鑰匙圈，讓你可以將鑰匙和其他物品分開收納。
scroll holder	卷軸筒
You can place any number of scrolls into this tubular container. It saves room in your backpack and protects scrolls from fire.	你可以將任意數量的卷軸放入這個筒狀容器，節省背包空間並防止卷軸著火。
seed pouch	種子袋
This small velvet pouch allows you to store any number of seeds in it. Very convenient.	這個小絨布袋不論多少種子都能收納，非常方便。
wand holster	法杖皮套
This slim holder is made of leather of some exotic animal. It allows to compactly carry up to %d wands.	這個修長的皮套是由某些奇特動物的皮所製成，可以緊密的收納最多 %d 支法杖。
ration of food	乾糧
Nothing fancy here: dried meat, some biscuits - things like that.	沒什麼特別的，肉乾、餅乾，諸如此類。
That food tasted delicious!	這食物真好吃！
chargrilled meat	烤肉
It looks like a decent steak.	一塊看起來還不賴的肉排。
frozen carpaccio	冷凍肉片
It's a piece of frozen raw meat. The only way to eat it is by cutting thin slices of it. And this way it's surprisingly good.	一塊冷凍生肉，食用的唯一方法是將它切片。這樣意外的還不錯吃。
You feel your skin hardens!	你覺得皮膚變得堅硬了！
Refreshing!	恢復了精神！
You feel better!	你感覺好多了！
mystery meat	謎之肉
Eat at your own risk!	吃了風險自負！
Oh it's hot!	好燙啊！
You can't feel your legs!	你的腿沒感覺了！
You are not feeling well.	你覺得不太舒服。
You are stuffed.	你吃飽了。
That food tasted... strange.	這食物吃起來...怪怪的。
overpriced food ration	不划算的乾糧
It looks exactly like a standard ration of food but smaller.	看起來跟一般乾糧一樣，但比較小。
That food tasted good.	這食物吃起來還不錯。
pasty	餡餅
This is authentic Cornish pasty with traditional filling of beef and potato.	有傳統牛肉與馬鈴薯餡料的道地肉餡餅。
golden key	金鑰匙
The notches on this golden key are tiny and intricate. Maybe it can open some chest lock?	這把金鑰匙上的刻槽小而精巧。也許可以用來開啟某些寶箱鎖？
iron key	鐵鑰匙
The notches on this ancient iron key are well worn; its leather lanyard is battered by age. What door might it open?	這把古老鐵鑰匙上的刻槽已經很陳舊了；它的皮繫繩歷經歲月風霜。可以用來開什麼門呢？
iron key from depth %d	在第 %d 層找到的鑰匙
skeleton key	骷髏鑰匙
This key looks serious: its head is shaped like a skull. Probably it can open some serious door.	這把鑰匙看起來很重要：頭部做成骷髏的造型。也許可以開啟某些重要的門。
%s potion	%s藥劑
This flask contains a swirling %s liquid. Who knows what it will do when drunk or thrown?	這個瓶子裡裝著晃漾的%s液體。不知道喝下或投擲出去會有什麼效果？
DRINK	飲用
Harmful potion!	有害的藥劑！
Beneficial potion	有益的藥劑
Are you sure you want to drink it? In most cases you should throw such potions at your enemies.	確定要喝下它嗎？在大多情況下你應該要把這種藥劑扔向敵人。
Are you sure you want to throw it? In most cases it makes sense to drink it.	確定要扔出去嗎？在大多情況下把它喝下去比較合理。
The flask shatters and %s liquid splashes harmlessly	瓶子碎了，%s液體無害的四處飛濺。
turquoise	青綠色
crimson	深紅色
azure	天藍色
jade	翡翠色
golden	金色
magenta	洋紅色
charcoal	深灰色
ivory	象牙色
amber	琥珀色
bistre	褐色
indigo	靛藍色
silver	銀色
Potion of Experience	經驗值藥劑
The storied experiences of multitudes of battles reduced to liquid form, this draught will instantly raise your experience level.	無數戰鬥累積下來的經驗值濃縮成液體的形式，喝下一口就能立即提升你的經驗值等級。
Potion of Frost	霜凍藥劑
Upon exposure to open air, this chemical will evaporate into a freezing cloud, causing any creature that contacts it to be frozen in place, unable to act and move.	當暴露在空氣中，這種化學物質會蒸散成霜凍雲霧，讓接觸到的任何生物被凍結在原地，無法移動及採取行動
Potion of Healing	治癒藥劑
An elixir that will instantly return you to full health and cure poison.	一種讓你立即回復所有生命並治癒狀態的靈藥。
Your wounds heal completely.	你的傷勢完全恢復了。
Potion of Invisibility	隱形藥劑
Drinking this potion will render you temporarily invisible. While invisible, enemies will be unable to see you. Attacking an enemy, as well as using a wand or a scroll before enemy's eyes, will dispel the effect.	喝下此藥劑會讓你暫時隱形，在隱形的期間敵人無法看到你。攻擊敵人以及在敵人面前使用法杖或卷軸會讓效果解除。
Potion of Levitation	浮空藥劑
Drinking this curious liquid will cause you to hover in the air, able to drift effortlessly over traps. Flames and gases fill the air, however, and cannot be bypassed while airborne.	喝下這種奇異的液體會讓你浮在空中，能夠毫不費力的飄移過陷阱。但火焰和氣體瀰漫在空氣中，因此無法從空中通過而不受影響。
You float into the air!	你飄浮在空中！
Potion of Liquid Flame	液態火焰藥劑
This flask contains an unstable compound which will burst violently into flame upon exposure to open air.	瓶子裡裝著不穩定的複合物，一旦暴露在空氣中便會猛烈爆發並燃燒。
Potion of Might	強健藥劑
This powerful liquid will course through your muscles, permanently increasing your strength by one point and health by five points.	這強大的液體會進入你的肌肉，永久提升 1 點力量及 5 點生命。
+1 str, +5 ht	+1 str, +5 ht
Potion of Mind Vision	心靈視界藥劑
After drinking this, your mind will become attuned to the psychic signature of distant creatures, enabling you to sense biological presences through walls. Also this potion will permit you to see through nearby walls and doors.	喝下之後你的心靈會感應到遠方生物的精神意象，讓你能隔牆感知到生物的存在。這種藥劑也能讓你透視附近的牆壁和門。
You can somehow feel the presence of other creatures' minds!	你能以某種方式感覺到其他生物心智的存在！
You can somehow tell that you are alone on this level at the moment.	不知怎地你知道這層樓目前只有你一個人。
Potion of Paralytic Gas	麻痺毒氣藥劑
Upon exposure to open air, the liquid in this flask will vaporize into a numbing yellow haze. Anyone who inhales the cloud will be paralyzed instantly, unable to move for some time after the cloud dissipates. This item can be thrown at distant enemies to catch them within the effect of the gas.	一旦暴露在空氣中，瓶中的液體會蒸散成讓人麻痺的黃色霧氣。吸入這種氣體將會立刻麻痺，在霧氣消散後的一段時間內動彈不得。這個道具可以扔向遠方的敵人，用氣體的效果逮住他們。
Potion of Purification	淨化藥劑
This reagent will quickly neutralize all harmful gases in the area of effect. Drinking it will give you a temporary immunity to such gases.	這種試劑會迅速中和範圍中的所有有害氣體。喝下它則會讓你暫時免疫這些氣體。
You feel uncommon freshness in the air.	你感覺到空氣中有種不尋常的清新。
You've stopped sensing any smells!	你聞不到任何氣味了！
Potion of Strength	力量藥劑
This powerful liquid will course through your muscles, permanently increasing your strength by one point.	這種強效的液體會進入你的肌肉，永久提升 1 點力量。
Newfound strength surges through your body.	新獲得的力量湧入你的身體。
+1 str	+1 str
Potion of Toxic Gas	毒氣藥劑
Uncorking or shattering this pressurized glass will cause its contents to explode into a deadly cloud of toxic green gas. You might choose to fling this potion at distant enemies instead of uncorking it by hand.	拔開塞子或打破這種加壓的玻璃瓶會使內容物爆開成致命的綠色毒霧。你應該會想將此藥劑扔向遠方的敵人而不是在手上打開。
corpse dust	屍塵
The ball of corpse dust doesn't differ outwardly from a regular dust ball. However, you know somehow that it's better to get rid of it as soon as possible.	屍塵球在外觀上與一般的粉塵球沒什麼不同。但不知怎地你知道越快擺脫它越好。
dark gold ore	暗金礦
This metal is called dark not because of its color (it doesn't differ from the normal gold), but because it melts under the daylight, making it useless on the surface.	這種金屬名稱中的暗並不是因為顏色（它與一般的黃金沒什麼不同），而是因為它會在日光下融化，讓它在地表上毫無用處。
dried rose	乾燥玫瑰
The rose has dried long ago, but it has kept all its petals somehow.	這朵玫瑰很久以前就乾枯了，但不知為何還保有所有的花瓣。
dwarf token	矮人令牌
Many dwarves and some of their larger creations carry these small pieces of metal of unknown purpose. Maybe they are jewelry or maybe some kind of ID. Dwarves are strange folk.	許多矮人及某些他們的大型造物攜帶著這些用途不明的小金屬片。也許是首飾，也可能是某種身分徽記。畢竟矮人是很奇怪的種族。
phantom fish	幻影魚
EAT	食用
You can barely see this tiny translucent fish in the air. In the water it becomes effectively invisible.	在空氣中勉強才能看清這半透明的小魚，在水中就變成隱形的了。
You see your hands turn invisible!	你發現你的手隱形了！
pickaxe	十字鎬
This is a large and sturdy tool for breaking rocks. Probably it can be used as a weapon.	這是用來敲碎岩石的堅固大型工具。也許可以當作武器。
MINE	採礦
There is no dark gold vein near you to mine	附近沒有暗金礦脈可以開採。
giant rat skull	巨鼠頭骨
It could be a nice hunting trophy, but it smells too bad to place it on a wall.	這可以當作很不錯的狩獵戰利品，但掛在牆上聞起來實在太糟了。
%s ring	%s戒指
This metal band is adorned with a large %s gem that glitters in the darkness. Who knows what effect it has when worn?	這只金屬環上裝飾著一顆大大的%s，在黑暗中閃閃發光。誰知道戴上它會有什麼效果？
broken %s	損壞的%s
you are now familiar enough with your %1$s to identify it. It is %2$s.	你現在對你的%1$s已經了解到足以辨識它了。它是%2$s。
Unequip one ring	取下一只戒指
You can only wear two rings at a time. Unequip one of your equipped rings.	同時只能佩戴兩只戒指。先取下目前佩戴的其中一只。
diamond	鑽石
opal	蛋白石
garnet	石榴石
ruby	紅寶石
amethyst	紫水晶
topaz	黃玉
onyx	縞瑪瑙
tourmaline	碧璽
emerald	綠寶石
sapphire	藍寶石
quartz	水晶
agate	瑪瑙
Your %s tightens around your finger painfully	你的%s帶著痛楚地束緊你的手指。
%1$s\n\nThe %2$s is on your finger %3$s.	%1$s\n\n%2$s在你的手指上%3$s。
, and because it is cursed, you are powerless to remove it	，由於被施加了詛咒，你無法脫下它。
%1$s\n\nYou can feel a malevolent magic lurking within the %2$s.	%1$s\n\n你能感受到這只%2$s中潛伏著惡意的魔法氣息。
This is a %s	這是一只%s
Ring of Accuracy	精準之戒
This ring increases your chance to hit the enemy.	這只戒指能增加你擊中敵人的機率。
Ring of Detection	探察之戒
Wearing this ring will allow the wearer to notice hidden secrets - traps and secret doors - without taking time to search. Degraded rings of detection will dull your senses, making it harder to notice secrets even when actively searching for them.	這只戒指的人能讓配戴的人注意到隱藏的秘密──陷阱和暗門──而不用花時間搜索。劣化的探察之戒會讓你的感知退化，即使主動搜索也不容易發現秘密。
Ring of Elements	元素之戒
This ring provides resistance to different elements, such as fire, electricity, gases etc. Also it decreases duration of negative effects.	這只戒指提供對各種元素的防護，像是火焰、雷電、氣體等等。也會減短負面狀態的持續時間。
Ring of Evasion	閃躲之戒
This ring increases your chance to dodge enemy attack.	這只戒指能增加你閃躲敵人攻擊的機率。
Ring of Haggler	無賴之戒
In fact this ring doesn't provide any magic effect, but it demonstrates to shopkeepers and vendors, that the owner of the ring is a member of The Thieves' Guild. Usually they are glad to give a discount in exchange for temporary immunity guarantee. Upgrading this ring won't give any additional bonuses.	這只戒指事實上不會提供任何魔法效果，但它向商店老闆和攤販表明戒指的擁有者是盜賊公會的成員，通常對方都會樂意提供優惠來換得暫時平安無事的保證。升級這只戒指不會有任何額外效果。
Ring of Haste	急速之戒
This ring accelerates the wearer's flow of time, allowing one to perform all actions a little faster.	這只戒指加快配戴者的時間流動，讓所有的行動都加快一些。
Ring of Herbalism	草藥學之戒
This ring increases your chance to gather dew and seeds from trampled grass.	這只戒指能增加你踩過草叢時得到露水和種子的機率。
Ring of Mending	癒合之戒
This ring increases the body's regenerative properties, allowing one to recover lost health at an accelerated rate. Degraded rings will decrease or even halt one's natural regeneration.	這只戒指能增進身體的再生機能，加快損失生命值的回復速度。劣化的戒指則會減慢甚至停止自然回復。
Ring of Power	強力之戒
Your wands will become more powerful in the energy field that radiates from this ring. Degraded rings of power will instead weaken your wands.	你的法杖在這只戒指散發的能量場域中會變得更加強大。劣化的強力之戒則會削弱你的法杖能力。
Ring of Satiety	飽足之戒
Wearing this ring you can go without food longer. Degraded rings of satiety will cause the opposite effect.	戴上這只戒指能夠在不吃食物的情況下撐更久。劣化的飽足之戒則會有相反的效果。
Ring of Shadows	暗影之戒
Enemies will be less likely to notice you if you wear this ring. Degraded rings of shadows will alert enemies who might otherwise not have noticed your presence.	戴上這只戒指後敵人將較不容易發現你。劣化的暗影之戒則會驚動本來可能未注意到你的敵人。
Ring of Thorns	荊棘之戒
Though this ring doesn't provide real thorns, an enemy that attacks you will itself be wounded by a fraction of the damage that it inflicts. Upgrading this ring won't give any additional bonuses.	雖然這只戒指並不是真的有荊棘，敵人攻擊你時卻會受到自己所造成攻擊的一部份傷害。升級這只戒指不會有任何額外效果。
scroll "%s"	「%s」卷軸
This parchment is covered with indecipherable writing, and bears a title of rune %s. Who knows what it will do when read aloud?	這卷羊皮紙上記載著難解的文字，並施加了%s符文的標題。不知道若大聲唸誦後會有什麼效果？
KAUNAN	考南
SOWILO	索維洛
LAGUZ	拉古茲
YNGVI	盈微
GYFU	跡伏
RAIDO	萊多
ISAZ	依薩斯
MANNAZ	曼納孜
NAUDIZ	饒迪希
BERKANAN	柏卡能
ODAL	奧道爾
TIWAZ	提瓦奇
Select an item	選擇物品
Do you really want to cancel this scroll usage? It will be consumed anyway.	確定要取消使用卷軸嗎？它仍會被消耗掉。
Yes, I'm positive	是的，我確定。
Scroll of Challenge	挑釁卷軸
When read aloud, this scroll will unleash a challenging roar that will awaken all monsters and alert them to the reader's location.	大聲唸誦出來後，這個卷軸會釋放出挑釁的怒號，驚醒所有怪物並使牠們得知唸誦者的位置。
The scroll emits a challenging roar that echoes throughout the dungeon!	卷軸發出了挑釁的怒號，迴盪在整個地城之中！
Scroll of Identify	辨識卷軸
Permanently reveals all of the secrets of a single item.	永久性揭開一件物品的所有秘密。
Select an item to identify	選擇要辨識的物品
It is %s	這是%s
Scroll of Lullaby	催眠曲卷軸
A soothing melody will put all creatures in your field of view into a deep sleep, giving you a chance to flee or make a surprise attack on them.	和緩的旋律將使你視野中的怪物陷入沉睡，讓你有機會逃脫或進行突襲。
The scroll utters a soothing melody.	卷軸發出了和緩的旋律。
The scroll utters a soothing melody and the %s falls asleep!	卷軸發出了和緩的旋律，%s睡著了！
The scroll utters a soothing melody and the monsters fall asleep!	卷軸發出了和緩的旋律，怪物們睡著了！
Scroll of Magic Mapping	魔法定位卷軸
When this scroll is read, an image of crystal clarity will be etched into your memory, alerting you to the precise layout of the level and revealing all hidden secrets. The locations of items and creatures will remain unknown.	當此卷軸被唸誦時，一個清晰透徹的影像將被刻入你的記憶之中，讓你精確得知此層樓的構圖並揭示所有的隱藏秘密。物品和怪物的位置仍無法得知。
You are now aware of the level layout.	你現在得知樓層構圖了。
Scroll of Mirror Image	鏡像卷軸
The incantation on this scroll will create illusionary twins of the reader, which will chase his enemies.	此卷軸上的法術會製造出一個與唸誦者相同的幻影，此幻影會追逐敵人。
Scroll of Psionic Blast	意念波爆卷軸
This scroll contains destructive energy, that can be psionically channeled to inflict a massive damage to all creatures within a field of view. An accompanying flash of light will temporarily blind everybody in the area of effect including the reader of the scroll.	此卷軸含有破壞性的能量，會對視野中的所有生物造成巨大的意念波傷害。隨之而來的閃光會讓範圍內的所有人暫時失明，包括卷軸唸誦者本身。
Scroll of Recharging	充能卷軸
The raw magical power bound up in this parchment will, when released, recharge all of the reader's wands to full power.	被封存在此羊皮卷軸中的純粹魔力，在釋放時會將唸誦者所有的法杖充滿能量。
a surge of energy courses through your pack, recharging your wand	能量湧入你的背包，為你的法杖充能。
a surge of energy courses through your pack, recharging your wands	能量湧入你的背包，為你的所有法杖充能。
a surge of energy courses through your pack, but nothing happens	能量湧入你的背包，但什麼也沒發生。
Scroll of Remove Curse	除咒卷軸
The incantation on this scroll will instantly strip from the reader's weapon, armor, rings and carried items any evil enchantments that might prevent the wearer from removing them.	此卷軸上的法術會立即解除唸誦者武器、防具、戒指及所有攜帶物品上所有本來可能無法移除的邪惡魔咒，
Your pack glows with a cleansing light, and a malevolent energy disperses.	你的背包發出了淨化之光，邪惡的能量隨之散失。
Your pack glows with a cleansing light, but nothing happens.	你的背包發出了淨化之光，但什麼也沒發生。
Scroll of Teleportation	傳送卷軸
The spell on this parchment instantly transports the reader to a random location on the dungeon level. It can be used to escape a dangerous situation, but the unlucky reader might find himself in an even more dangerous place.	此羊皮紙上的法術會將唸誦者瞬間傳送到此地城樓層的隨機處，可以用來逃脫危險的情境，但運氣不佳的唸誦者可能會發現自己處境更為驚險。
In a blink of an eye you were teleported to another location of the level.	眨眼之間你被傳送到了此樓層的另一個地方。
Strong magic aura of this place prevents you from teleporting!	這地方有強大的魔法場域讓你無法傳送！
Scroll of Terror	驚懼卷軸
A flash of red light will overwhelm all creatures in your field of view with terror, and they will turn and flee. Attacking a fleeing enemy will dispel the effect.	剎那的紅光讓你視野中的所有怪物陷入恐懼並轉身逃跑。攻擊逃跑中的敵人會解除此效果。
The scroll emits a brilliant flash of red light	卷軸發出鮮亮的紅色閃光。
The scroll emits a brilliant flash of red light and the %s flees!	卷軸發出鮮亮的紅色閃光，%s逃跑了！
The scroll emits a brilliant flash of red light and the monsters flee!	卷軸發出鮮亮的紅色閃光，怪物們逃跑了！
Scroll of Upgrade	升級卷軸
This scroll will upgrade a single item, improving its quality. A wand will increase in power and in number of charges; a weapon will inflict more damage or find its mark more frequently; a suit of armor will deflect additional blows; the effect of a ring on its wearer will intensify. Weapons and armor will also require less strength to use, and any curses on the item will be lifted.	此卷軸可升級一件物品，增進它的品質。法杖會強化力量和充能數量；武器會造成更多傷害或更容易擊中目標；防具會擋下更多攻擊；戒指對配戴者的影響會增強。武器和防具使用所需的力量會減少，且物品上的任何詛咒將被解除。
Select an item to upgrade	選擇要升級的物品
Scroll of Enchantment	附魔卷軸
This scroll is able to imbue a weapon or an armor with a random enchantment, granting it a special power.	此卷軸能為武器或防具附上一種隨機附魔，施予它特殊的能力。
Select an enchantable item	選擇˙一件可附魔的物品
your %s glows in the dark	你的%s在黑暗中發出光芒
Scroll of Wipe Out	殲滅卷軸
READ	閱讀
Read this scroll to unleash the wrath of the dungeon spirits, killing everything on the current level. Well, almost everything. Some of the more powerful creatures may be not affected.	唸誦此卷軸來釋放地城之靈的憤怒，殺光此樓層中的所有一切。呃，幾乎所有一切。某些較強大的怪物可能不會受影響。
You can't read a scroll while blinded	你無法在失明的期間閱讀卷軸
%s wand	%s法杖
ZAP	發射
This thin %s wand is warm to the touch. Who knows what it will do when used?	這把纖細的%s法杖摸起來溫溫的。不知道使用的話會有什麼效果？
When this wand is used as a melee weapon, its average damage is %d points per hit.	當這把法杖作為近戰武器使用時，平均每下造成 %d 點傷害。
You can use this wand as a melee weapon.	你可以把這把法杖當作近戰武器使用。
your wand fizzles; it must be out of charges for now	你的法杖嘶嘶作響；一定是能量用盡了。
You can't target yourself	不能以自己為目標
Choose direction to zap	選擇發射的方向
You are now familiar enough with your %s.	你現在對你的%s已經夠了解了。
holly	冬青
yew	紫杉木
ebony	黑檀木
cherry	櫻木
teak	柚木
rowan	山梨木
willow	柳木
mahogany	紅木
bamboo	竹
purpleheart	紫心木
oak	橡木
birch	樺木
Wand of Amok	狂亂法杖
The purple light from this wand will make the target run amok attacking random creatures in its vicinity.	這把法杖發出的紫光會讓目標狂亂並隨機攻擊身邊的生物。
Wand of Avalanche	崩落法杖
When a discharge of this wand hits a wall (or any other solid obstacle) it causes an avalanche of stones, damaging and stunning all creatures in the affected area.	當這把法杖向牆面（或任何其他固體障礙物）發射時，會造成石塊的崩落，讓影響範圍內的生物受到傷害並擊暈。
You killed yourself with your own Wand of Avalanche...	你用崩落法杖把自己殺死了...
Wand of Blink	瞬移法杖
This wand will allow you to teleport in the chosen direction. Creatures and inanimate obstructions will block the teleportation.	這把法杖可讓你往指定的方向瞬移，怪物和無生命的障礙物會阻礙移動。
Wand of Disintegration	瓦解法杖
This wand emits a beam of destructive energy, which pierces all creatures in its way. The more targets it hits, the more damage it inflicts to each of them.	這把法杖會放射出破壞性能量的光束，穿透所有路徑上的怪物。擊中越多目標，對每個單位的傷害越大。
Wand of Firebolt	火球法杖
This wand unleashes bursts of magical fire. It will ignite flammable terrain, and will damage and burn a creature it hits.	這把法杖可釋放出魔法烈焰，會點燃可燃的地形，且傷害並焚燒擊中的生物。
You killed yourself with your own Wand of Firebolt...	你用火球法杖把自己殺死了...
Wand of Flock	羊群法杖
A flick of this wand summons a flock of magic sheep, creating temporary impenetrable obstacle.	輕揮這把法杖就能召喚魔法羊群，製造臨時路障。
sheep	羊
This is a magic sheep. What's so magical about it? You can't kill it. It will stand there until it magically fades away, all the while chewing cud with a blank stare.	這是一隻魔法羊。魔法點在哪呢？在於你殺不死牠。牠會一直站在原地直到消失，而在這段期間內就只是兩眼發直地不停反芻。
Baa!	咩！
Baa?	咩？
Baa.	咩。
Baa...	咩...
Bee...	咪...
Ble...	咩啊...
Wand of Lightning	雷電法杖
This wand conjures forth deadly arcs of electricity, which deal damage to several creatures standing close to each other.	這把法杖可向前方召出致命的雷電弧束，會對站在一起的怪物們同時造成傷害。
You killed yourself with your own Wand of Lightning...	你用雷電法杖把自己殺死了...
Wand of Magic Missile	魔法箭法杖
This wand launches missiles of pure magical energy, dealing moderate damage to a target creature.	這把法杖可發射純魔法能量飛彈，對目標生物造成中度傷害。
DISENCHANT	分解
You killed yourself with your own Wand of Magic Missile...	你用魔法箭法杖把自己殺死了...
Select a wand to upgrade	選擇要升級的法杖
you disenchanted the Wand of Magic Missile and used its essence to upgrade your %s	你分解了魔法箭法杖，並使用它的精華來為%s升級。
Wand of Poison	劇毒法杖
The vile blast of this twisted bit of wood will imbue its target with a deadly venom. A creature that is poisoned will suffer periodic damage until the effect ends. The duration of the effect increases with the level of the staff.	這把扭曲木杖的惡毒射線會使目標染上致命的劇毒。中毒的生物會受到持續性的傷害，直到效果結束。效果持續的時間隨著法杖的等級提升。
Wand of Regrowth	萌生法杖
"When life ceases new life always begins to grow... The eternal cycle always remains!"	「有生命終止總有新生命萌芽...永恆的循環生生不息！」
Wand of Slowness	緩速法杖
This wand will cause a creature to move and attack at half its ordinary speed until the effect ends	這把法杖可使怪物的移動和攻擊速度減半，直到效果結束
Wand of Reach	遙動法杖
This utility wand can be used to grab objects from a distance and to switch places with enemies. Waves of magic force radiated from it will affect all cells on their way triggering traps, trampling high vegetation, opening closed doors and closing open ones.	這把實用的法杖可以用來拿取遠處的東西，以及與敵人交換位置。從法杖發出的魔力波動可以觸發陷阱、踏平草木、打開關著的門及關上打開的門。
You have magically transported %s into your backpack	你使用魔力將%s傳送到背包之中
Wand of Teleportation	傳送法杖
A blast from this wand will teleport a creature against its will to a random place on the current level.	這把法杖的放射能量會不問意願地將一隻怪物傳送到該樓層的隨機一處。
%1$s teleported %2$s to somewhere	%1$s將%2$s傳送到某處了
nothing happened	什麼也沒發生
You are now familiar enough with your %1$s to identify it. It is %2$s.	你現在對你的%1$s已經了解到足以辨識它了。它是%2$s。
Interaction of different types of magic has negated the enchantment on this weapon!	在不同類型魔法的交互作用下，這件武器上的附魔失效了！
%1$s :%2$d	%1$s：%2$d
broken %1$s :%2$d	損壞的%1$s：%2$d
grim %s	殘酷之%s
blazing %s	熾燄之%s
eldritch %s	詭譎之%s
unstable %s	無常之%s
vampiric %s	吸血之%s
lucky %s	幸運之%s
stunning %s	擊倒之%s
venomous %s	劇毒之%s
shocking %s	雷擊之%s
chilling %s	酷寒之%s
tempered %s	淬鍊之%s
This %1$s is %2$s tier-%3$d melee weapon.	這把%1$s%2$s %3$d 階近戰武器。
a	是
a upgraded	是升級過的
an degraded	是劣化的
a broken	是損壞的
Its average damage is %d points per hit.	每次攻擊的平均傷害是 %d 點。
Its typical average damage is %1$d points per hit and usually it requires %2$d points of strength.	其一般平均傷害是每下 %1$d 點，通常需要 %2$d 點力量來使用。
Probably this weapon is too heavy for you.	這件武器對你來說可能太重了。
This is a rather %s weapon.	這是一件%s的武器。
fast	快速
slow	慢速
and	且
but	但
accurate	精準
inaccurate	不精準
It was balanced to make it faster.	它已經被調整過而速度加快了。
It was balanced to make it more accurate.	它已經被調整過而更加精準了。
It is enchanted.	上面已有附魔。
You hold the %1$s at the ready%2$s.	你的%1$s已裝備就緒%2$s。
, and because it is cursed, you are powerless to let go	，由於被施加了詛咒，你無法放開它。
You can feel a malevolent magic lurking within %s.	你能感受到此%s上潛伏著惡意的魔法氣息。
battle axe	戰斧
The enormous steel head of this battle axe puts considerable heft behind each stroke.	這把戰斧的巨大鋼頭為每一擊都施加可觀的力道。
dagger	匕首
A simple iron dagger with a well worn wooden handle.	一把簡單的鐵匕首，木製把柄磨損的很厲害。
glaive	大刀
A polearm consisting of a sword blade on the end of a pole.	尾端裝有刀鋒的長柄武器。
knuckleduster	手指虎
A piece of iron shaped to fit around the knuckles.	一件做成適於指關節形狀的鐵器。
longsword	長劍
This towering blade inflicts heavy damage by investing its heft into every cut.	這把碩長鋒刃每次劈砍所施加的力道會造成嚴重傷害。
mace	鈍錘
The iron head of this weapon inflicts substantial damage.	這把武器的鐵製頭部可造成紮實的傷害。
quarterstaff	長棍
A staff of hardwood, its ends are shod with iron.	硬木質的棍棒，尾端包著鐵。
short sword	短劍
It is indeed quite short, just a few inches longer, than a dagger.	它的確是滿短的，只比匕首長了幾吋。
REFORGE	再鑄
Select a weapon to upgrade	選擇要升級的武器
you reforged the short sword to upgrade your %s	你再鑄了短劍來為%s升級。
you can't upgrade a boomerang this way	不能用這種方式升級迴力鏢
spear	長矛
A slender wooden rod tipped with sharpened iron.	加裝著銳利鐵矛頭的細長木桿。
sword	劍
The razor-sharp length of steel blade shines reassuringly.	這把鋒利的長刃可靠地閃耀著。
war hammer	戰錘
Few creatures can withstand the crushing blow of this towering mass of lead and steel, but only the strongest of adventurers can use it effectively.	很少有怪物能承受這巨大鉛鋼塊的摧毀性重擊，但只有最強壯的冒險者能有效使用它。
Missile weapon	遠程武器
Do you really want to equip it as a melee weapon?	真的要把它當作近戰武器來裝備嗎？
\n\nAverage damage of this weapon equals to %d points per hit.	\n\n這把武器的平均傷害是每下 %d 點。
Because of your inadequate strength the accuracy and speed of your attack with this %s is decreased.	由於你的力量不足，使用這把%s攻擊的命中率和速度會下降。
Because of your excess strength the damage of your attack with this %s is increased.	由於你的力量比武器需求更高，使用這把%s攻擊的傷害會增加。
\n\nYou hold the %s at the ready.	\n\n你的%s已裝備就緒。
boomerang	迴力鏢
Thrown to the enemy this flat curved wooden missile will return to the hands of its thrower.	向敵人擲出後，這把扁平的弧形木製投擲武器會飛回投擲者的手中。
curare dart	毒飛鏢
These little evil darts don't do much damage but they can paralyze the target leaving it helpless and motionless for some time.	這些邪惡的小飛鏢給不了太多傷害，但會讓目標麻痺而在一段時間內無助地無法動彈。
dart	飛鏢
These simple metal spikes are weighted to fly true and sting their prey with a flick of the wrist.	這些簡單的金屬銳物被加了重量以飛射得更為精準，並在拂手之間釘穿獵物。
incendiary dart	燃彈飛鏢
The spike on each of these darts is designed to pin it to its target while the unstable compounds strapped to its length burst into brilliant flames.	這些飛鏢上的尖刺設計成會釘在目標身上不放，同時綁在上頭的易爆物會爆燃成熊熊火焰。
javelin	標槍
This length of metal is weighted to keep the spike at its tip foremost as it sails through the air.	金屬桿身加了重，確保飛行時尖端保持向前。
shuriken	手裡箭
Star-shaped pieces of metal with razor-sharp blades do significant damage when they hit a target. They can be thrown at very high rate.	星形的金屬刃片擊中目標時會造成可觀的傷害。可以用極快的速度擲出。
tomahawk	飛斧
This throwing axe is not that heavy, but it still requires significant strength to be used effectively.	這種投擲斧不是很重，但還是需要很大的力氣才能有效使用。
A cloud of confusion gas is swirling here.	令人昏眩的氣體正瀰漫在此處。
A fire is raging here.	烈焰正在此處肆虐。
Shafts of light pierce the gloom of the underground garden.	一道道的光穿透了地下花園的陰暗。
A cloud of paralytic gas is swirling here.	令人麻痺的氣體正瀰漫在此處。
"Your sacrifice is worthy..."	「你的祭品還可以...」
"Your sacrifice is unworthy..."	「你的祭品毫無價值...」
"Your sacrifice is worthy and so you are!"	「你的祭品還可以...你也是！」
