Play	开始游戏
The flask shatters and %s liquid splashes harmlessly	瓶子碎裂开来，%s色液体无害地溅出了。
turquoise	青绿
crimson	猩红
azure	湛青
jade	翡翠
golden	金黄
magenta	品红
charcoal	煤黑
ivory	乳白
amber	琥珀
bistre	深褐
indigo	靛蓝
silver	白银
Potion of Experience	经验药水
The storied experiences of multitudes of battles reduced to liquid form, this draught will instantly raise your experience level.	无数传奇战斗的经历被凝缩为液态，这种药水能够瞬间提升你的等级。
Potion of Frost	霜冻药水
Upon exposure to open air, this chemical will evaporate into a freezing cloud, causing any creature that contacts it to be frozen in place, unable to act and move.	一旦暴露在空气中，这种化学品会挥发成为一片冰冷的气雾，使任何接触它的生物冻结在原地无法行动。
Potion of Healing	治疗药水
An elixir that will instantly return you to full health and cure poison.	一瓶能让你瞬间回满生命值并清除毒素的万能药剂。
Your wounds heal completely.	你的伤口完全愈合了。
Potion of Invisibility	隐形药水
Drinking this potion will render you temporarily invisible. While invisible, enemies will be unable to see you. Attacking an enemy, as well as using a wand or a scroll before enemy's eyes, will dispel the effect.	饮用这种药水会使你暂时隐形。隐身时，敌人将无法看见你。攻击敌人，或在敌人面前使用法杖和卷轴，会让隐形效果立即消失。
Potion of Levitation	漂浮药水
Drinking this curious liquid will cause you to hover in the air, able to drift effortlessly over traps. Flames and gases fill the air, however, and cannot be bypassed while airborne.	饮用这种奇怪的药水能让你漂浮到空中，从而轻易地越过陷阱和裂隙。然而当火焰和气体充斥在空气当中时，在空中漂浮并不能避免它们的危险。
You float into the air!	你漂浮到了空中！
Potion of Liquid Flame	液火药水
This flask contains an unstable compound which will burst violently into flame upon exposure to open air.	这个瓶子里装着一种不稳定的化合物，一旦暴露在空气中就会猛烈地燃烧起来。
Potion of Might	根骨药水
This powerful liquid will course through your muscles, permanently increasing your strength by one point and health by five points.	这种强力的液体会冲刷你的根骨，永久性增加1点力量值和5点生命上限。
+1 str, +5 ht	+1力量，+5生命上限
Potion of Mind Vision	灵视药水
After drinking this, your mind will become attuned to the psychic signature of distant creatures, enabling you to sense biological presences through walls. Also this potion will permit you to see through nearby walls and doors.	喝下这瓶药水后，你的心灵将与大范围内的生物精神同调，让你能感受到围墙背后的生体所在。该药水还能够让你的视野无视身边门墙的阻挡。
You can somehow feel the presence of other creatures' minds!	你可以以某种方式感受到其他生物的存在！
You can somehow tell that you are alone on this level at the moment.	你以某种方式感受到现在只有你在这一楼层。
Potion of Paralytic Gas	麻痹气体药水
Upon exposure to open air, the liquid in this flask will vaporize into a numbing yellow haze. Anyone who inhales the cloud will be paralyzed instantly, unable to move for some time after the cloud dissipates. This item can be thrown at distant enemies to catch them within the effect of the gas.	烧瓶里的液体一旦暴露于空气中，就会气化成一片令人失去知觉的黄色云雾。任何吸入气雾的生物都可能立即麻痹，直到云雾消散后一段时间才能行动。可以把它扔到远处的敌群中，让它们处于气体的影响中。
Potion of Purification	净化药水
This reagent will quickly neutralize all harmful gases in the area of effect. Drinking it will give you a temporary immunity to such gases.	这种药水会迅速中和掉作用区域内的一切有害气体。饮用它将使你暂时免疫这些气体。
You feel uncommon freshness in the air.	你感受到了空气中不寻常的清新气息。
You've stopped sensing any smells!	你什么也闻不到了！
Potion of Strength	力量药水
This powerful liquid will course through your muscles, permanently increasing your strength by one point.	这种强力的液体会冲刷你的肌肉，永久性增加1点力量。
Newfound strength surges through your body.	新生的力量从你身体中喷涌而出。
+1 str	+1力量
Potion of Toxic Gas	毒气药水
Uncorking or shattering this pressurized glass will cause its contents to explode into a deadly cloud of toxic green gas. You might choose to fling this potion at distant enemies instead of uncorking it by hand.	打开或摔碎这只密封的药瓶将导致内容物爆发成一团致命的绿色毒云。你应该选择从远处将这瓶药水扔向敌人，而不是手动开封。
corpse dust	尸尘
The ball of corpse dust doesn't differ outwardly from a regular dust ball. However, you know somehow that it's better to get rid of it as soon as possible.	这团尸尘看起来和普通灰尘球差不多，但你能感觉到里面潜伏着一股恶意的魔力……最好尽快脱手。
dark gold ore	暗金矿
This metal is called dark not because of its color (it doesn't differ from the normal gold), but because it melts under the daylight, making it useless on the surface.	这种金属名中的暗并非源于其色泽（它看起来和普通金子一样），而是因为它会在阳光下熔化，令其在地表上毫无用处。
dried rose	干枯玫瑰
The rose has dried long ago, but it has kept all its petals somehow.	这支玫瑰很久之前就枯萎了，但不知道为什么花瓣还保存得很好。
dwarf token	矮人徽记
Many dwarves and some of their larger creations carry these small pieces of metal of unknown purpose. Maybe they are jewelry or maybe some kind of ID. Dwarves are strange folk.	很多矮人和他们的造物都携带着这种小块金属，理由不详。大概它是装饰品或者什么身份识别吧。矮人都挺奇怪的。
EAT	食用
You see your hands turn invisible!	你看到你的手隐形了！
pickaxe	铁镐
This is a large and sturdy tool for breaking rocks. Probably it can be used as a weapon.	这确实是件巨大又可靠的掘石工具。应该也能当武器用。
MINE	挖矿
There is no dark gold vein near you to mine	你周围没有暗金脉可挖
giant rat skull	巨大的老鼠头骨
It could be a nice hunting trophy, but it smells too bad to place it on a wall.	它是件不错的战利品，只是挂在墙上也太难闻了
%s ring	%s戒指
This metal band is adorned with a large %s gem that glitters in the darkness. Who knows what effect it has when worn?	一颗在黑暗中微微发光的%s镶嵌在这个金属环上，不知道戴上它会有什么效果？
you are now familiar enough with your %1$s to identify it. It is %2$s.	你已足够熟悉你的%1$s，鉴定出它是%2$s。
diamond	钻石
opal	蛋白石
garnet	石榴石
ruby	红宝石
amethyst	紫水晶
topaz	黄晶玉
onyx	缟玛瑙
tourmaline	电气石
emerald	祖母绿
sapphire	蓝宝石
quartz	石英
agate	玛瑙
Your %s tightens around your finger painfully	你的%s紧紧地箍在你的手指上，好痛！
%1$s\n\nThe %2$s is on your finger %3$s.	%1$s\n\n%2$s正戴在你的手指上%3$s
, and because it is cursed, you are powerless to remove it	，同时因为它被诅咒了，你无力将其摘下。
%1$s\n\nYou can feel a malevolent magic lurking within the %2$s.	%1$s\n你能感受到%2$s中潜伏着一股恶毒的魔力。
This is a %s	这一枚%s
Ring of Accuracy	精准之戒
This ring increases your chance to hit the enemy.	这枚戒指增加你击中敌人的几率。
Ring of Detection	侦测戒指
Wearing this ring will allow the wearer to notice hidden secrets - traps and secret doors - without taking time to search. Degraded rings of detection will dull your senses, making it harder to notice secrets even when actively searching for them.	戴上这枚戒指能让佩戴者自发地侦测到隐藏门和陷阱而不是发时间去搜寻。负等级的探查戒指会使你的感知变得迟钝，甚至有时你主动探查都无法注意到隐藏门和陷阱。
Ring of Elements	元素戒指
This ring provides resistance to different elements, such as fire, electricity, gases etc. Also it decreases duration of negative effects.	这枚戒指能够提升佩戴者对不同元素例如火，电，毒气等的抗性，同时减少负面效果地持续时间。
Ring of Evasion	闪避戒指
This ring increases your chance to dodge enemy attack.	这枚戒指能够增加你闪避敌人攻击的几率。
Ring of Haggler	还价戒指
In fact this ring doesn't provide any magic effect, but it demonstrates to shopkeepers and vendors, that the owner of the ring is a member of The Thieves' Guild. Usually they are glad to give a discount in exchange for temporary immunity guarantee. Upgrading this ring won't give any additional bonuses.	事实上这枚戒指并不能提供任何魔法效果，但是它能向商人证明你是盗贼工会的一员。他们会很愿意用商品的折扣来换临时的保护。升级这枚戒指并不会带来额外增益。
Ring of Haste	急速戒指
This ring accelerates the wearer's flow of time, allowing one to perform all actions a little faster.	这枚戒指能够加速佩戴者身上的时间流速，使他的一切动作都快一些。
Ring of Herbalism	草药戒指
This ring increases your chance to gather dew and seeds from trampled grass.	这枚戒指能够提升你从踩倒的高草获取露珠和种子的几率。
Ring of Mending	代谢戒指
This ring increases the body's regenerative properties, allowing one to recover lost health at an accelerated rate. Degraded rings will decrease or even halt one's natural regeneration.	这枚戒指能提高佩戴者的身体再生速率，使他们能更快地回复损失的生命值。负向等级的愈合之戒会使佩戴者的自然再生速度减慢甚至停止。
Ring of Power	力量戒指
Your wands will become more powerful in the energy field that radiates from this ring. Degraded rings of power will instead weaken your wands.	你的法杖在戒指中辐射出来的能量场里更加强大，负等级的戒指会削弱你的法杖。
Ring of Satiety	饱腹戒指
Wearing this ring you can go without food longer. Degraded rings of satiety will cause the opposite effect.	佩戴这枚戒指会提升你对饥饿的忍耐度，负等级的戒指则会造成相反的效果
Ring of Shadows	暗影戒指
Enemies will be less likely to notice you if you wear this ring. Degraded rings of shadows will alert enemies who might otherwise not have noticed your presence.	当你佩戴这枚戒指时敌人会更难注意到你，负等级的戒指会使附近的敌人更容易发现你的存在。
Ring of Thorns	荆棘戒指
Though this ring doesn't provide real thorns, an enemy that attacks you will itself be wounded by a fraction of the damage that it inflicts. Upgrading this ring won't give any additional bonuses.	这枚戒指不会提供真正的荆棘，但它会把你受到的伤害的一小部分反馈给攻击方，升级这枚戒指不会给予任何额外加成。
scroll "%s"	“%s”卷轴
This parchment is covered with indecipherable writing, and bears a title of rune %s. Who knows what it will do when read aloud?	这张羊皮纸上写满了难以破译的文字，并带有%s的符文。高声朗诵它时不知会有什么神奇的事发生呢？
KAUNAN	KAUNAN
SOWILO	SOWILO
LAGUZ	LAGUZ
YNGVI	YNGVI
GYFU	GYFU
RAIDO	RAIDO
ISAZ	ISAZ
MANNAZ	MANNAZ
NAUDIZ	NAUDIZ
BERKANAN	BERKANAN
ODAL	ODAL
TIWAZ	TIWAZ
Select an item	选择一个物品
Do you really want to cancel this scroll usage? It will be consumed anyway.	你确定你要打断此卷轴的法术吗？反正它早晚也会被用掉。
Yes, I'm positive	 是的，我确定
Scroll of Challenge	挑战卷轴
When read aloud, this scroll will unleash a challenging roar that will awaken all monsters and alert them to the reader's location.	当你大声吟诵时，这张卷轴将会释放出一声挑衅的咆哮，这声咆哮将会唤醒所有怪物并指示他们导向吟诵者之处。
The scroll emits a challenging roar that echoes throughout the dungeon!	卷轴发出的挑衅怒吼在地牢中回荡！
Scroll of Identify	鉴定卷轴
Permanently reveals all of the secrets of a single item.	永久揭示一件物品的所有秘密。
Select an item to identify	选择你要鉴定的物品
It is %s	这是%s
Scroll of Lullaby	催眠卷轴
A soothing melody will put all creatures in your field of view into a deep sleep, giving you a chance to flee or make a surprise attack on them.	一段舒缓的旋律会让你视野中的所有敌人陷入沉睡中，让你有机会逃跑或是突袭他们。
The scroll utters a soothing melody.	这张卷轴发出了一种舒缓的旋律。
The scroll utters a soothing melody and the %s falls asleep!	这张卷轴发出了一种舒缓的旋律使%s陷入了沉睡！
The scroll utters a soothing melody and the monsters fall asleep!	这张卷轴发出了一种舒缓的旋律使怪物陷入了沉睡！
Scroll of Magic Mapping	魔法地图卷轴
When this scroll is read, an image of crystal clarity will be etched into your memory, alerting you to the precise layout of the level and revealing all hidden secrets. The locations of items and creatures will remain unknown.	读了这张卷轴后，你清楚知道了这层的地形、陷阱、隐藏门。但你不知道这层有什么怪物和物品。
You are now aware of the level layout.	你现在知道这层的结构了。
Scroll of Mirror Image	镜像卷轴
The incantation on this scroll will create illusionary twins of the reader, which will chase his enemies.	此卷轴上的咒语将创造阅读者的幻象双胞胎，幻象将追逐他的敌人。
Scroll of Psionic Blast	灵能爆破卷轴
This scroll contains destructive energy, that can be psionically channeled to inflict a massive damage to all creatures within a field of view. An accompanying flash of light will temporarily blind everybody in the area of effect including the reader of the scroll.	这张卷轴含有破坏性的能量，可以通过灵能引导对视野范围内的所有生物造成巨大伤害。随之而来的闪光会暂时性地使效果范围内的所有人失明，包括卷轴的阅读者。
Scroll of Recharging	充能卷轴
The raw magical power bound up in this parchment will, when released, recharge all of the reader's wands to full power.	 阅读后将你的法杖充满能量。
a surge of energy courses through your pack, recharging your wand	一股能量涌入了你的背包，为你的法杖充能
a surge of energy courses through your pack, recharging your wands	一股能量流经你的背包，为你的魔杖充能
a surge of energy courses through your pack, but nothing happens	一股能量喷涌而出，但什么也没发生
Scroll of Remove Curse	除咒卷轴
The incantation on this scroll will instantly strip from the reader's weapon, armor, rings and carried items any evil enchantments that might prevent the wearer from removing them.	驱除你的背包中的所有诅咒。
Your pack glows with a cleansing light, and a malevolent energy disperses.	你的背包中发出洁净的能量，而邪恶的力量消失了。
Your pack glows with a cleansing light, but nothing happens.	你的背包中发出洁净的能量，但什么也没发生。
Scroll of Teleportation	传送卷轴
The spell on this parchment instantly transports the reader to a random location on the dungeon level. It can be used to escape a dangerous situation, but the unlucky reader might find himself in an even more dangerous place.	这张羊皮纸上的咒语会立即将阅读者传送到当前层的随机位置。它可以在危险的情况用来逃避，但不幸的读者可能会发现自己处在一个更危险的地方。
In a blink of an eye you were teleported to another location of the level.	眼前一闪，传送完成。
Strong magic aura of this place prevents you from teleporting!	强大的能量阻止了你的传送！
Scroll of Terror	恐惧卷轴
A flash of red light will overwhelm all creatures in your field of view with terror, and they will turn and flee. Attacking a fleeing enemy will dispel the effect.	发出红光，恐惧敌人。攻击它们会使恐惧失效。
The scroll emits a brilliant flash of red light	这卷轴造成了一道红色的光芒
The scroll emits a brilliant flash of red light and the %s flees!	这张卷轴造成了一道耀眼的红光，%s逃跑了！
The scroll emits a brilliant flash of red light and the monsters flee!	这卷轴造成了一道红色的光芒，怪物们逃跑了！
Scroll of Upgrade	升级卷轴
This scroll will upgrade a single item, improving its quality. A wand will increase in power and in number of charges; a weapon will inflict more damage or find its mark more frequently; a suit of armor will deflect additional blows; the effect of a ring on its wearer will intensify. Weapons and armor will also require less strength to use, and any curses on the item will be lifted.	强化一件物品。将使法杖效果更强并增加最大充能数；武器伤害更高并提高命中；护甲会提供更高的防御效果；戒指效果会更好。同时也会降低武器和防具的重量以及驱除物品上的诅咒。
Select an item to upgrade	选择一个物品来升级
READ	阅读
You can't read a scroll while blinded	你暂时失明，不能阅读
%s wand	%s法杖
ZAP	施放
This thin %s wand is warm to the touch. Who knows what it will do when used?	这根%s法杖摸上去很暖和。谁能知道使用它会发生什么事？
When this wand is used as a melee weapon, its average damage is %d points per hit.	当这支法杖用于近战时，它的平均伤害是每次攻击 %d 点。
You can use this wand as a melee weapon.	你可以将这根法杖当近战武器使用。
your wand fizzles; it must be out of charges for now	你的法杖滋滋作响：一定是没能量了
You can't target yourself	你不能以自己为施法目标。
Choose direction to zap	选择要施放魔法的位置
holly	"冬青"
yew	"红豆杉"
ebony	"乌木"
cherry	"樱桃"
teak	"柚木"
rowan	花楸
willow	"柳"
mahogany	"桃花心木"
bamboo	"竹"
purpleheart	"紫心"
oak	"橡木"
birch	"桦木"
Wand of Amok	狂乱法杖
The purple light from this wand will make the target run amok attacking random creatures in its vicinity.	这根法杖施放的紫色光芒会使目标陷入狂乱状态，并随机攻击它附近的生物。
Wand of Avalanche	崩塌法杖
When a discharge of this wand hits a wall (or any other solid obstacle) it causes an avalanche of stones, damaging and stunning all creatures in the affected area.	当这根法杖释放的能量击中了墙壁 ( 或者其他坚固的障碍物 ) 时，它会造成岩石下塌，对那片区域的生物造成麻痹及伤害。
You killed yourself with your own Wand of Avalanche...	你挥动了崩塌法杖，没想到周边的石头砸死了你……
Wand of Blink	瞬移法杖
This wand will allow you to teleport in the chosen direction. Creatures and inanimate obstructions will block the teleportation.	这根法杖会让你传送至目标地点，碰到生物和非生物障碍皆会令传送中止。
Wand of Disintegration	裂解法杖
This wand emits a beam of destructive energy, which pierces all creatures in its way. The more targets it hits, the more damage it inflicts to each of them.	这根法杖释放的毁灭性射线会对路径上的所有生物造成伤害。其穿透的目标数越多，造成的伤害就越大。
Wand of Firebolt	火弹法杖
This wand unleashes bursts of magical fire. It will ignite flammable terrain, and will damage and burn a creature it hits.	这根法杖可以释放出爆裂性的火焰。它会使可燃的地形燃烧，对击中的生物造成伤害并点燃他们。
You killed yourself with your own Wand of Firebolt...	你挥动了火弹法杖，没想到引火自焚……
Wand of Flock	羊群法杖
A flick of this wand summons a flock of magic sheep, creating temporary impenetrable obstacle.	使用这根法杖可以召唤一群魔法绵羊来充当暂时存在且不可通的障碍物。
sheep	魔法绵羊
This is a magic sheep. What's so magical about it? You can't kill it. It will stand there until it magically fades away, all the while chewing cud with a blank stare.	这是一只魔法绵羊。为什么叫魔法绵羊？因为你没法杀死它。它只会站在那里直到魔法失效，在它消失前，它只会站在这儿咀嚼反刍物，神情空洞。
Baa!	咩！
Baa?	咩？
Baa.	咩。
Baa...	咩……
Bee...	呗……
Ble...	叭……
Wand of Lightning	闪电法杖
This wand conjures forth deadly arcs of electricity, which deal damage to several creatures standing close to each other.	这根法杖可以释放出致命的电弧，会对目标及其相邻的数个生物造成伤害。
You killed yourself with your own Wand of Lightning...	你挥动了闪电法杖，没想到自己也会触电身亡……
Wand of Magic Missile	魔弹法杖
This wand launches missiles of pure magical energy, dealing moderate damage to a target creature.	这根法杖可以发射具有魔法能量的飞弹，对目标生物造成中级的伤害。
DISENCHANT	褪魔
You killed yourself with your own Wand of Magic Missile...	你挥动了魔弹法杖，没想到自己魔弹会撞墙反弹……
Select a wand to upgrade	选择强化一根法杖
you disenchanted the Wand of Magic Missile and used its essence to upgrade your %s	你抽取了魔弹法杖的强化，并将其转移到了你的%s上
Wand of Poison	毒咒法杖
The vile blast of this twisted bit of wood will imbue its target with a deadly venom. A creature that is poisoned will suffer periodic damage until the effect ends. The duration of the effect increases with the level of the staff.	这根法杖会对目标灌注致命的剧毒。生物会在剧毒作用下受到持续伤害直到效果结束。剧毒的持续回合会随着法杖等级而提升。
Wand of Regrowth	蔓生法杖
"When life ceases new life always begins to grow... The eternal cycle always remains!"	“枯木逢春，始渡终，终启始，永生永存！”
Wand of Slowness	减速法杖
This wand will cause a creature to move and attack at half its ordinary speed until the effect ends	这根法杖会使目标行动迟钝，从而降低其移动力及攻速，直到效果结束。
You have magically transported %s into your backpack	你用念动魔法将%s收入了你的背包
Wand of Teleportation	传送法杖
A blast from this wand will teleport a creature against its will to a random place on the current level.	这根法杖释放的能量会将目标生物传送到当前层的随机位置。
%1$s teleported %2$s to somewhere	%1$s将%2$s传送到了其他地方
nothing happened	什么事也没有发生
You are now familiar enough with your %1$s to identify it. It is %2$s.	你已足够熟悉你的%1$s，鉴定出它是%2$s。
Interaction of different types of magic has negated the enchantment on this weapon!	不同属性魔法的冲突使得这把武器的附魔失去了效力！
%1$s :%2$d	%1$s ： %2$d
grim %s	冷酷%s
blazing %s	炽烈%s
eldritch %s	恐惧%s
unstable %s	紊乱%s
lucky %s	幸运%s
stunning %s	重击%s
venomous %s	淬毒%s
chilling %s	寒冰%s
This %1$s is %2$s tier-%3$d melee weapon.	这把%1$s是%2$s %3$d 阶近战武器。
a	一把
a upgraded	一把升级过的
an degraded	一把负等级的
Its average damage is %d points per hit.	它的平均伤害是每次攻击 %d 点。
Its typical average damage is %1$d points per hit and usually it requires %2$d points of strength.	一般情况下这把武器每次攻击能造成平均 %1$d 点伤害，并需要 %2$d 点力量才能正常使用。
Probably this weapon is too heavy for you.	也许这把武器对你来说太重了。
This is a rather %s weapon.	这是一把比较%s的武器。
fast	快速
slow	缓慢
and	并且
but	但是
accurate	精准
inaccurate	不太精准
It was balanced to make it faster.	经打磨后，它更轻巧了。
It was balanced to make it more accurate.	经打磨后，它变得更精准了。
It is enchanted.	它已被附魔。
You hold the %1$s at the ready%2$s.	你正握着这把%1$s%2$s。
, and because it is cursed, you are powerless to let go	，并且因为它被诅咒了，你无法将其放下。
You can feel a malevolent magic lurking within %s.	你能感受到%s中潜伏着一股恶毒的魔力。
battle axe	战斧
The enormous steel head of this battle axe puts considerable heft behind each stroke.	这把有着巨大钢制头部的战斧能将庞大的力量倾注在每次挥击之中。
dagger	匕首
A simple iron dagger with a well worn wooden handle.	一把木柄严重磨损的普通铁匕首。
glaive	关刀
A polearm consisting of a sword blade on the end of a pole.	一把在末端嵌有剑刃的长柄武器。
knuckleduster	指虎
A piece of iron shaped to fit around the knuckles.	一块专门切合指节轮廓的铁片。
longsword	长剑
This towering blade inflicts heavy damage by investing its heft into every cut.	擎天巨刃，击击铿锵，削铁如泥。
mace	硬头锤
The iron head of this weapon inflicts substantial damage.	铁头在上，脑袋开花。
quarterstaff	铁头棍
A staff of hardwood, its ends are shod with iron.	木制短棍，两头镶铁。
short sword	短剑
It is indeed quite short, just a few inches longer, than a dagger.	它确实十分短，只比匕首长几英寸。
REFORGE	重铸
Select a weapon to upgrade	选择你要强化的武器
you reforged the short sword to upgrade your %s	你将你的短剑重铸以升级你的%s
you can't upgrade a boomerang this way	你不能以这种方式为回力镖升级
spear	长矛
A slender wooden rod tipped with sharpened iron.	这是一根装着锋锐铁戈的细幼木杖。
sword	单手剑
The razor-sharp length of steel blade shines reassuringly.	此等锋利的刀刃定不会让你失望。
war hammer	战锤
Few creatures can withstand the crushing blow of this towering mass of lead and steel, but only the strongest of adventurers can use it effectively.	没有多少生物可以承受这种武器的碾压，但只有少数强者才可以精通它。
Missile weapon	投掷武器
Do you really want to equip it as a melee weapon?	你确定要将其用作近战武器？
\n\nAverage damage of this weapon equals to %d points per hit.	\n这件武器平均每次攻击能造成 %d 点伤害。
Because of your inadequate strength the accuracy and speed of your attack with this %s is decreased.	因为你的力量不足，你在使用这把%s攻击时，精准度和攻速因而下降。
Because of your excess strength the damage of your attack with this %s is increased.	因为你的力量已远远高过武器所需，你在使用这把%s攻击时伤害会增加。
\n\nYou hold the %s at the ready.	\n你已经握着这件%s。
boomerang	 回力镖
Thrown to the enemy this flat curved wooden missile will return to the hands of its thrower.	扔出，命中，回手，就是这么简单。
curare dart	麻痹飞镖
These little evil darts don't do much damage but they can paralyze the target leaving it helpless and motionless for some time.	这些邪恶的小飞镖伤害不大，但能把目标麻痺，剩它静立无助一会。
dart	飞镖
These simple metal spikes are weighted to fly true and sting their prey with a flick of the wrist.	挥动手腕，翶击长空，伤敌千里。
incendiary dart	引燃飞镖
The spike on each of these darts is designed to pin it to its target while the unstable compounds strapped to its length burst into brilliant flames.	每个飞镖上的尖刺是用来将飞镖固定在目标上的，而不稳定的化合物则被固定在飞镖的长刃尖上，燃烧成明亮的火焰。
javelin	标枪
This length of metal is weighted to keep the spike at its tip foremost as it sails through the air.	经德国认证，枪头能稳定俯前，直至击中目标。
shuriken	手里剑
Star-shaped pieces of metal with razor-sharp blades do significant damage when they hit a target. They can be thrown at very high rate.	星形铁片，配上尖锐刀锋，轻巧得很伤害又高，据说只有加藤鹰忍士才能完美驾驭此物。
tomahawk	飞斧
This throwing axe is not that heavy, but it still requires significant strength to be used effectively.	看上去这柄飞斧并不重，但它依然需要足够的力量来能有效发挥作用。
A cloud of confusion gas is swirling here.	这里盘踞着一片致眩气体。
A fire is raging here.	这里起火了。
Shafts of light pierce the gloom of the underground garden.	光束划破了地下花园的黑暗。
A cloud of paralytic gas is swirling here.	这里盘踞着一片麻痹气体
A greenish cloud of toxic gas is swirling here.	这里漂浮着一团绿色毒云
You died from a toxic gas..	你死于吸毒……
As you take a sip, you feel the knowledge pours into your mind. Now you know everything about your equipped items. Also you sense all items on the level and know all its secrets.	智慧的力量正从这口井的水里涌出。喝下井水能揭示所有已装备物品的秘密。
Power of knowledge radiates from the water of this well. Take a sip from it to reveal all secrets of equipped items.	在你小酌一口时，你感觉知识涌入了你的头脑。现在你对已装备的物品了如指掌。同时，你察觉到了这一层所有的道具，并且掌握了它们的秘密。
Power of health radiates from the water of this well. Take a sip from it to heal your wounds and satisfy hunger.	生命的力量从井里涌出。喝下井水能在治愈伤口的同时填饱肚子。
As you take a sip, you feel your wounds heal completely.	就在你小酌一口时，你感觉身上的伤口完全愈合了。
Power of change radiates from the water of this well. Throw an item into the well to turn it into something else.	变化的力量从这口井的水中散发出来。把一件东西扔进井里，它就能变成别的东西。
Everything is covered with a thick web here.	这里覆盖了厚重的网
Amok	狂乱
Barkskin	树肤
Bleeding	流血
You bled to death...	你失血过多身亡…
Blinded	目盲
Burning	燃烧
%s burns up!	%s被烧掉了！
You burned to death...	你被烧成灰了……
Charmed	魅惑
Combo	连击
%d hit combo!	%d连击！
Crippled	残疾
Frozen	冰冻
Fury	暴怒
You are hungry.	你饿了。
You are starving!	你饿到受不了了！
You starved to death...	你饿死了……
Hungry	饥饿
Starving	饥肠辘辘
Invisible	隐形
Levitating	漂浮
Illuminated	照明
Mind vision	灵视
Caustic ooze	腐蚀污泥
%s killed you...	%s杀了你……
Paralyzed	麻痹
Poisoned	中毒
You died from poison...	你中毒身亡…
Rooted	缠绕
Shadowmelded	暗影融合
Slowed	缓速
Vertigo	眩晕
Weakened	虚弱
backpack	背包
Real description is coming soon!	真正的说明即将到来！
You hear something died in the distance	远处传来死亡的声音。
This %s is sleeping	这个%s正在睡觉
This %s is hunting	这个%s正在追杀
This %s is fleeing	这个%s正在逃跑
This %s is passive	这个%s是平和的
acidic scorpio	酸蚀蝎子
albino rat	白化老鼠
crazy bandit	疯狂强盗
vampire bat	吸血蝙蝠
These brisk and tenacious inhabitants of cave domes may defeat much larger opponents by replenishing their health with each successful attack.	这些敏捷且坚韧的洞穴穹顶居民能够通过每次成功的攻击来恢复自己的生命，从而打败比它们强大的对手。
gnoll brute	豺狼暴徒
Brutes are the largest, strongest and toughest of all gnolls. When severely wounded, they go berserk, inflicting even more damage to their enemies.	暴徒是豺狼人中体型最为巨大，最为强壮，最为坚韧的。当受到严重的伤害时，它们会变得狂暴，对它们的敌人造成大量伤害。
%s becomes enraged!	%s被激怒了！
enraged	激怒
sewer crab	下水道螃蟹
These huge crabs are at the top of the food chain in the sewers. They are extremely fast and their thick exoskeleton can withstand heavy blows.	这些巨型的螃蟹位居下水道食物链的顶端。它们行动极其迅速，并且厚重的甲壳能承受沉重的打击。
DM-300	DM-300
This machine was created by the Dwarves several centuries ago. Later, Dwarves started to replace machines with golems, elementals and even demons. Eventually it led their civilization to the decline. The DM-300 and similar machines were typically used for construction and mining, and in some cases, for city defense.	数世纪前矮人们制造了这部机器。但此后，矮人们开始使用魔像、元素生物甚至是恶魔来替换机器，最终导致其文明的衰败。DM-300及类似的机器通常用于建设和挖掘，在某些情况下，也会用于城防。
DM-300 repairs itself!	DM-300修复了自己！
Mission failed. Shutting down.	任务失败，系统关闭。
Unauthorized personnel detected.	检测到未授权人员。
fire elemental	火元素
Wandering fire elementals are a byproduct of summoning greater entities. They are too chaotic in their nature to be controlled by even the most powerful demonologist.	这些游荡的火元素是在召唤某种更强大存在时的副产品。由于其特性太过混乱，以至于最强大的恶魔学者都无法驱使。
evil eye	邪眼
One of this demon's other names is "orb of hatred", because when it sees an enemy, it uses its deathgaze recklessly, often ignoring its allies and wounding them.	这种恶魔的别名是“憎恶之球”，因为它一旦看到敌人就会毫无顾忌地使用它们的死亡凝视，即使这会伤害到它的友军。
%s's deathgaze killed you...	%s的死亡凝视杀死了你……
fetid rat	腐臭老鼠
This marsupial rat is much larger, than a regular one. It is surrounded by a foul cloud.	这只啮齿小鼠比通常的更大。它身边围绕着一圈恶臭云雾。
gnoll scout	豺狼斥候
Gnolls are hyena-like humanoids. They dwell in sewers and dungeons, venturing up to raid the surface from time to time. Gnoll scouts are regular members of their pack, they are not as strong as brutes and not as intelligent as shamans.	豺狼人是像鬣狗一样的人型生物。它们居住在下水道和地牢中，不时向上突袭试图向地表发起进攻。豺狼斥候是它们种群里最普通的一员，它们不像暴徒们那样强壮，也没有萨满们那么聪明。
golem	魔像
The Dwarves tried to combine their knowledge of mechanisms with their newfound power of elemental binding. They used spirits of earth as the "soul" for the mechanical bodies of golems, which were believed to be most controllable of all. Despite this, the tiniest mistake in the ritual could cause an outbreak.	矮人们尝试将他们关于机械的知识与新发现的元素力量相结合。土之灵作为公认的最容易掌控的元素之灵，被用来当作机械的“灵魂”。即使这样，仪式中任何细微的失误都会造成严重的爆炸。
Goo	粘咕
Little known about The Goo. It's quite possible that it is not even a creature, but rather a conglomerate of substances from the sewers that gained rudiments of free will.	人们对粘咕知之甚少。它很有可能甚至不是一个生物，而是获得了自由意志的下水道物质聚合物。至少很明显黑魔法在它身上起了作用。
