Play	Грати
While this armor looks heavy, it allows a warrior to perform heroic leap towards a targeted location, slamming down to stun all neighboring enemies.	У той час як цей обладунок виглядає важким, він дозволяє виконувати воїну героїчний стрибок до цільового місця, при цьому оглушуючи всіх сусідніх ворогів  на місці приземлення.
HEROIC LEAP	ГЕРОЇЧНИЙ СТРИБОК
Only warriors can use this armor!	Тільки воїни можуть використовувати цю броню!
Choose direction to leap	Вибери напрям для стрибка
%s of affection	%s пристрасті
%s of anti-entropy	%s анти-ентропії
%s of bounce	%s пружності
%s of displacement	%s переміщення
%s of entanglement	%s сплутування
%s of metabolism	%s метаболізму
%s of multiplicity	%s помноження
%s of potential	%s потенціалу
%s of stench	%s смороду
%s of viscosity	%s в'язкості
deferred %d	відкладено %d
Defered damage (%d)	Відкладений урон (%d)
OPEN	ВІДКРИТИ
key ring	зв'язка для ключів
This is a copper key ring, that lets you keep all your keys separately from the rest of your belongings.	Ця мідна зв'язка для ключів дозволить зберігати всі твої ключі окремо від інших речей.
scroll holder	футляр для сувоїв
You can place any number of scrolls into this tubular container. It saves room in your backpack and protects scrolls from fire.	Футляр вмістить будь-яку кількість сувоїв, розвантажуючи рюкзак та захищаючи їх від вогню.
seed pouch	мішечок для насіння
This small velvet pouch allows you to store any number of seeds in it. Very convenient.	Маленький оксамитовий мішечок вмістить велику кількість насіння. Дуже корисна річ.
wand holster	пенал для паличок
This slim holder is made of leather of some exotic animal. It allows to compactly carry up to %d wands.	Це - тонкий пенал зі шкіри екзотичної тварини. Він дозволяє компактно тримати до %d паличок.
ration of food	сухий пайок
Nothing fancy here: dried meat, some biscuits - things like that.	Нічого цікавого: сушене м'ясо, трохи печива - тощо.
That food tasted delicious!	Їжа була смачною!
chargrilled meat	смажене м'ясо
It looks like a decent steak.	Виглядає як пристойний біфштекс.
frozen carpaccio	заморожене карпачо
It's a piece of frozen raw meat. The only way to eat it is by cutting thin slices of it. And this way it's surprisingly good.	Це шматок замороженого сирого м'яса. Єдиний спосіб з'їсти карпачо - нарізати тонких скибочок з нього. І це, як не дивно, доволі смакує.
You feel your skin hardens!	Ти відчуваєш, як твоя шкіра затверділа!
Refreshing!	Освіжає!
You feel better!	Ти почуваєш себе краще!
mystery meat	таємниче м'ясо
Eat at your own risk!	Скуштуй на свій острах!
Oh it's hot!	Ох, воно гаряче!
You can't feel your legs!	Ти не відчуваєш своїх ніг!
You are not feeling well.	Ти почуваєш себе не дуже добре.
You are stuffed.	Ти об'ївся.
That food tasted... strange.	Ця їжа на смак... дивна.
overpriced food ration	дорогий сухий пайок
It looks exactly like a standard ration of food but smaller.	Він виглядає так само, як і стандартний сухий пайок, але менший.
That food tasted good.	Ця їжа добра на смак.
pasty	пиріг з м'ясом
This is authentic Cornish pasty with traditional filling of beef and potato.	Це традиційний Корнуоллський пиріг з начинкою яловичини і картоплі
golden key	золотий ключ
The notches on this golden key are tiny and intricate. Maybe it can open some chest lock?	Насічки на ключі мають дрібну та заплутану форму. Можливо цей ключ підійде до якоїсь скрині?
iron key	залізний ключ
The notches on this ancient iron key are well worn; its leather lanyard is battered by age. What door might it open?	Насічки на древньому ключі майже стерлися; шкіряний мотузок розсипався від часу. Які двері він може відкрити?
iron key from depth %d	залізний ключ від рівня %d
skeleton key	ключ-скелет
This key looks serious: its head is shaped like a skull. Probably it can open some serious door.	Цей ключ виглядає досить вагомо: тримач вирізьблено у формі черепа. Можливо він відмикає якісь важливі двері.
%s potion	%s зілля
This flask contains a swirling %s liquid. Who knows what it will do when drunk or thrown?	Ця колба містить %s зілля, що обертається в середині. Хто знає що трапиться, якщо це випити або кинути?
DRINK	ПИТИ
Harmful potion!	Шкідливе зілля!
Beneficial potion	Корисне зілля
Are you sure you want to drink it? In most cases you should throw such potions at your enemies.	Ви впевнені, що хочете випити це? Зазвичай такі зілля кидають в своїх ворогів.
Are you sure you want to throw it? In most cases it makes sense to drink it.	Ви впевнені, що хочете кинути це зілля? Зазвичай такі зілля випивають.
The flask shatters and %s liquid splashes harmlessly	Колба розбилася і %s зілля розливається, не завдаючи шкоди.
turquoise	бірюзове
crimson	малинове
azure	лазурне
jade	нефритове
golden	золоте
magenta	пурпурове
charcoal	вугляне
ivory	блідо-жовте
amber	бурштинове
bistre	коричневе
indigo	індигове
silver	срібне
Potion of Experience	Зілля досвіду
The storied experiences of multitudes of battles reduced to liquid form, this draught will instantly raise your experience level.	Історичний досвід битв безлічі людей зводиться до рідкої форми, це негайно підійме твій рівень досвіду.
Potion of Frost	Зілля морозу
Upon exposure to open air, this chemical will evaporate into a freezing cloud, causing any creature that contacts it to be frozen in place, unable to act and move.	При контакті з повітрям цей хімікат випарується, утворюючи жахливу хмарку, приморожуючи до місця усіх істот, кого торкнеться, позбавляючи можливості поворухнутися.
Potion of Healing	Зілля лікування
An elixir that will instantly return you to full health and cure poison.	Еліксир, який миттєво вилікує тебе і звільнить від дії отрути.
Your wounds heal completely.	Твої рани загоїлись.
Potion of Invisibility	Зілля невидимості
Drinking this potion will render you temporarily invisible. While invisible, enemies will be unable to see you. Attacking an enemy, as well as using a wand or a scroll before enemy's eyes, will dispel the effect.	Якщо випити цей напій ти станеш тимчасово невидимим. Доки ти невидимий, вороги не зможуть помітити тебе. Атака ворога, а також використання палички або сувою перед очима супротивника, розсіює ефект.
Potion of Levitation	Зілля левітації
Drinking this curious liquid will cause you to hover in the air, able to drift effortlessly over traps. Flames and gases fill the air, however, and cannot be bypassed while airborne.	Ця рідина змусить тебе зависати в повітрі, ти зможеш дрейфувати без особливих зусиль над пастками. Полум'я і гази наповнюють повітря, тому, і не вийде їх оминути, коли ти перебуваєш в повітрі.
You float into the air!	Ти літаєш у повітрі!
Potion of Liquid Flame	Зілля рідкого вогню
This flask contains an unstable compound which will burst violently into flame upon exposure to open air.	Цей флакон містить нестійке з'єднання, яке вибухне полум'ям при контакті з  повітрям.
Potion of Might	Зілля могутності
This powerful liquid will course through your muscles, permanently increasing your strength by one point and health by five points.	Ця могутня рідина буде курсувати через твої м'язи, збільшуючи сили на одне очко і здоров'я на п'ять.
+1 str, +5 ht	+1 сили, +5 здоров'я
Potion of Mind Vision	Зілля ясного бачення
After drinking this, your mind will become attuned to the psychic signature of distant creatures, enabling you to sense biological presences through walls. Also this potion will permit you to see through nearby walls and doors.	Випивши його, ти отримаєш здатність вловлювати мозкові хвилі віддалених істот, що дозволить тобі відчувати живі організми крізь стіни. Також це зілля дозволить тобі бачити крізь найближчі стіни і двері.
You can somehow feel the presence of other creatures' minds!	Ти відчуваєш присутність інших істот на цьому рівні.
You can somehow tell that you are alone on this level at the moment.	Тобі щось підказує що ти єдиний на цьому рівні.
Potion of Paralytic Gas	Зілля паралізуючого газу
Upon exposure to open air, the liquid in this flask will vaporize into a numbing yellow haze. Anyone who inhales the cloud will be paralyzed instantly, unable to move for some time after the cloud dissipates. This item can be thrown at distant enemies to catch them within the effect of the gas.	При контакті з повітрям ця рідина випарується, утворюючи жовтуватий серпанок. Будь-хто вдихнув його буде миттєво паралізований і зможе рушити лише через деякий час після випаровування димки. Цей предмет можна жбурнути у ворогів, щоб паралізувати їх.
Potion of Purification	Зілля очищення
This reagent will quickly neutralize all harmful gases in the area of effect. Drinking it will give you a temporary immunity to such gases.	Цей реагент миттєво нейтралізує всі шкідливі гази в приміщенні. Випивши його, ти тимчасово отримаєш імунітет до подібних газів.
You feel uncommon freshness in the air.	Ти відчуваєш прибуття свіжості в повітрі.
You've stopped sensing any smells!	Ти перестав відчувати будь-який запах!
Potion of Strength	Зілля сили
This powerful liquid will course through your muscles, permanently increasing your strength by one point.	Ця могутня рідина збільшить твою силу на 1 пункт.
Newfound strength surges through your body.	Новонабрана сила пульсує в твоєму тілі.
+1 str	+1 сили
Potion of Toxic Gas	Зілля токсичного газу
Uncorking or shattering this pressurized glass will cause its contents to explode into a deadly cloud of toxic green gas. You might choose to fling this potion at distant enemies instead of uncorking it by hand.	Найменше пошкодження або спроба відкрити цю посудину призведе до вибуху закачаного під тиском токсичного газу. Тобі краще жбурнути його у ворога, ніж намагатися відкрити.
corpse dust	трупна пилюка
The ball of corpse dust doesn't differ outwardly from a regular dust ball. However, you know somehow that it's better to get rid of it as soon as possible.	Жменя трупної пилюки не відрізняється від звичайної. Хоча не покидає відчуття, що від неї треба скоріше позбутися.
dark gold ore	темна золота руда
This metal is called dark not because of its color (it doesn't differ from the normal gold), but because it melts under the daylight, making it useless on the surface.	Цей метал зветься темним не через його колір (він не відрізняється від звичайного золота), а через те, що він тане на сонячному світлі. Через що ним не можливо користуватися на поверхні.
dried rose	посохла роза
The rose has dried long ago, but it has kept all its petals somehow.	Ця троянда посохла багато років тому, але попри все, збереглася кожна пелюстка.
dwarf token	дворфський жетон
Many dwarves and some of their larger creations carry these small pieces of metal of unknown purpose. Maybe they are jewelry or maybe some kind of ID. Dwarves are strange folk.	Багато хто з дворфів та їхні масивні витвори носили при собі ці маленькі металеві штучки. Яку роль вони грали, так і лишилося загадкою. Чи може це була прикраса, чи щось схоже на перепустку. Дворфи дивний народ.
EAT	З'ЇСТИ
You see your hands turn invisible!	Ти побачив, як твої руки зникли!
pickaxe	кірка
This is a large and sturdy tool for breaking rocks. Probably it can be used as a weapon.	Це великий та міцний інструмент для розколювання каміння. Як зброю теж можна використовувати.
MINE	ДОБУТИ
There is no dark gold vein near you to mine	Ти не бачиш жодного родовища чорного золота поблизу.
giant rat skull	череп гігантського щура
It could be a nice hunting trophy, but it smells too bad to place it on a wall.	Він міг бути непоганим трофеєм, але не має жодного бажання вішати на стіну предмет від якого так тхне.
%s ring	перстень з %s
This metal band is adorned with a large %s gem that glitters in the darkness. Who knows what effect it has when worn?	Цей металічний перстень прикрашено %s, що переливається на світлі. Хто знає, який ефект він може проявити, якщо одягти його?
you are now familiar enough with your %1$s to identify it. It is %2$s.	%1$s достатньо добре тобі відомий, аби ідентифікувати його. Це %2$s.
diamond	діамантом
opal	опалом
garnet	гранатом
ruby	рубіном
amethyst	аметистом
topaz	топазом
onyx	оніксом
tourmaline	турмаліном
emerald	смарагдом
sapphire	сапфіром
quartz	кварцом
agate	агатом
Your %s tightens around your finger painfully	Проклятий %s не зняти. Боляче.
%1$s\n\nThe %2$s is on your finger %3$s.	%1$s\n\n%2$s на твоєму пальці%3$s
, and because it is cursed, you are powerless to remove it	 проклято, ти не в змозі зняти його.
%1$s\n\nYou can feel a malevolent magic lurking within the %2$s.	%1$s\n\nТи відчуваєш зловісну магію, що прокралась в %2$s.
This is a %s	Це %s
Ring of Accuracy	Перстень влучності
This ring increases your chance to hit the enemy.	Цей перстень покращить твій шанс попасти по ворогу.
Ring of Detection	Перстень виявлення
Wearing this ring will allow the wearer to notice hidden secrets - traps and secret doors - without taking time to search. Degraded rings of detection will dull your senses, making it harder to notice secrets even when actively searching for them.	Цей перстень дозволить тобі краще помічати приховане, таке як пастки та потаємні двері, не витрачаючи час на пошуки. Послаблений перстень навпаки, затьмарить твою пильність, ускладнюючи пошук секретів.
Ring of Elements	Перстень стихій
This ring provides resistance to different elements, such as fire, electricity, gases etc. Also it decreases duration of negative effects.	Цей перстень забезпечує додатковим захистом від стихійних проявів сили, такі як вогонь, електрика, газу і т.п. Також він знижує час дії негативних ефектів.
Ring of Evasion	Перстень ухиляння
This ring increases your chance to dodge enemy attack.	Цей перстень збільшить твій шанс ухилитися від ворожої атаки.
Ring of Haggler	Перстень торговця
In fact this ring doesn't provide any magic effect, but it demonstrates to shopkeepers and vendors, that the owner of the ring is a member of The Thieves' Guild. Usually they are glad to give a discount in exchange for temporary immunity guarantee. Upgrading this ring won't give any additional bonuses.	Цей перстень не має чарівних ефектів, проте воно показує всім торговцям, що перед ними член гільдії злодіїв. Як правило, вони готові надати знижку, аби не мати проблем із гільдією. Покращення даного персня не принесе додаткової користі.
Ring of Haste	Перстень поспіху
This ring accelerates the wearer's flow of time, allowing one to perform all actions a little faster.	Перстень прискорить плин часу для свого володаря, завдяки чому той зможе швидше справлятися з поточними справами.
Ring of Herbalism	Перстень травник
This ring increases your chance to gather dew and seeds from trampled grass.	Цей перстень збільшить твій шанс отримати росу чи насіння з витоптаної трави.
Ring of Mending	Перстень регенерації
This ring increases the body's regenerative properties, allowing one to recover lost health at an accelerated rate. Degraded rings will decrease or even halt one's natural regeneration.	Цей перстень покращить регенеративні здібності володаря, дозволяючи швидше поновлювати здоров'я. Послаблений перстень навпаки, погіршує і може повністю зупинити регенерацію.
Ring of Power	Перстень сили
Your wands will become more powerful in the energy field that radiates from this ring. Degraded rings of power will instead weaken your wands.	Цей перстень посилює чарівні здатності палички володаря. Послаблений, має обернений ефект.
Ring of Satiety	Перстень ситості
Wearing this ring you can go without food longer. Degraded rings of satiety will cause the opposite effect.	Носій персня може довше протриматись без їжі. Послаблений перстень посилює голод.
Ring of Shadows	Перстень тіней
Enemies will be less likely to notice you if you wear this ring. Degraded rings of shadows will alert enemies who might otherwise not have noticed your presence.	Вороги мають менший шанс помітити власника персня. Послаблений перстень навпаки, приверне зайву увагу, якої можна було б уникнути.
Ring of Thorns	Перстень шипів
Though this ring doesn't provide real thorns, an enemy that attacks you will itself be wounded by a fraction of the damage that it inflicts. Upgrading this ring won't give any additional bonuses.	Самий перстень не вкрито шипами, але кожен хто торкнеться його власника відчує на власній шкурі частину нанесеної тобі шкоди. Покращення персні не додасть додаткової користі.
scroll "%s"	сувій "%s"
This parchment is covered with indecipherable writing, and bears a title of rune %s. Who knows what it will do when read aloud?	Цей сувій покрито незрозумілими символами та позначений руною %s. Хто знає, що станеться якщо прочитати його вголос.
KAUNAN	КАУНАН
SOWILO	СОУІЛО
LAGUZ	ЛАГУЗ
YNGVI	ЙІНГВІ
GYFU	ГІУФУ
RAIDO	РАІДО
ISAZ	ІСАЗ
MANNAZ	МАННАЗ
NAUDIZ	НАУДІЗ
BERKANAN	БЕРКАНАН
ODAL	ОДАЛ
TIWAZ	ТІУАЗ
Select an item	Обери предмет
Do you really want to cancel this scroll usage? It will be consumed anyway.	Сувій буде втрачено в будь-якому випадку. Ти справді бажаєш перервати його використання?
Yes, I'm positive	Так, я підтверджую
Scroll of Challenge	Сувій виклику
When read aloud, this scroll will unleash a challenging roar that will awaken all monsters and alert them to the reader's location.	Під час читання цього свитку в голос, він видає рев, кидаючи виклик всім монстрам на рівні та вказуючи їм твоє розташування.
The scroll emits a challenging roar that echoes throughout the dungeon!	Свиток випускає рев виклику, який луною несеться по підземеллю.
Scroll of Identify	Сувій розпізнавання
Permanently reveals all of the secrets of a single item.	Повністю відкриває всі секрети одного предмету.
Select an item to identify	Обери предмет для розпізнавання
It is %s	Це %s
Scroll of Lullaby	Сувій колискової
A soothing melody will put all creatures in your field of view into a deep sleep, giving you a chance to flee or make a surprise attack on them.	Колискова мелодія, що генерую свиток. заколихує всіх монстрів в полі зору, даючи можливість утекти чи завдати несподіваного удару.
The scroll utters a soothing melody.	Сувій видає заспокійливу колискову.
The scroll utters a soothing melody and the %s falls asleep!	Сувій видає заспокійливу колискову і %s засинає!
The scroll utters a soothing melody and the monsters fall asleep!	Сувій видає заспокійливу колискову і монстри засинають!
Scroll of Magic Mapping	Сувій магічної карти
When this scroll is read, an image of crystal clarity will be etched into your memory, alerting you to the precise layout of the level and revealing all hidden secrets. The locations of items and creatures will remain unknown.	Коли читаєш сувій, в твоїй голові чітко проявиться картина, яка вкаже карту рівня та всі його секрети. Проте положення предметів та монстрів залишиться невідомим.
You are now aware of the level layout.	Тепер ти маєш план рівня.
Scroll of Mirror Image	Сувій двійника
The incantation on this scroll will create illusionary twins of the reader, which will chase his enemies.	Читання сувою призведе до створення твоїх двійників, який помчать за ворогами.
Scroll of Psionic Blast	Сувій ментального удару
This scroll contains destructive energy, that can be psionically channeled to inflict a massive damage to all creatures within a field of view. An accompanying flash of light will temporarily blind everybody in the area of effect including the reader of the scroll.	Цей сувій містить руйнівну енергію, яка за примхою власника, прямує до всіх ворогів в полі зору, та спричиняє їм значної шкоди. Ефект супроводжується сильним спалахом, який осліплює всіх навкруги разом із власником сувою.
Scroll of Recharging	Сувій перезарядження
The raw magical power bound up in this parchment will, when released, recharge all of the reader's wands to full power.	Сира магічна енергія, яка замкнена в сувої, миттєво відновить заряди магічних паличок власника сувою.
a surge of energy courses through your pack, recharging your wand	потік сирої магічної енергії проминув по твоєму рюкзаку та перезарядив магічну паличку.
a surge of energy courses through your pack, recharging your wands	потік сирої магічної енергії проминув по твоєму рюкзаку та перезарядив магічні палички.
a surge of energy courses through your pack, but nothing happens	потік сирої магічної енергії проминув по твоєму рюкзаку, але нічого не сталося.
Scroll of Remove Curse	Сувій зняття прокляття
The incantation on this scroll will instantly strip from the reader's weapon, armor, rings and carried items any evil enchantments that might prevent the wearer from removing them.	Прочитавши цей сувій, ти прикличеш чарівну силу, яка вижене зі зброї, броні, кілець чи інших речей будь яке зло, дозволяючи користуватись цим предметами.
Your pack glows with a cleansing light, and a malevolent energy disperses.	Твій рюкзак освітлює світлом очищення, і зловісна енергія покидає його.
Your pack glows with a cleansing light, but nothing happens.	Твій рюкзак освітлює світлом очищення, але нічого не трапилося.
Scroll of Teleportation	Сувій перенесення
The spell on this parchment instantly transports the reader to a random location on the dungeon level. It can be used to escape a dangerous situation, but the unlucky reader might find himself in an even more dangerous place.	Сувій перенесе заклинача у випадкову точку на рівні. Це може допомогти уникнути небезпечної ситуації, проте вдача може перенести тебе в місце де буде ще гірше.
In a blink of an eye you were teleported to another location of the level.	Не моргнувши й оком, тебе перенесло в іншу точку рівня.
Strong magic aura of this place prevents you from teleporting!	Могутня магічна аура даного місце не дозволяє тобі перенестися.
Scroll of Terror	Сувій жаху
A flash of red light will overwhelm all creatures in your field of view with terror, and they will turn and flee. Attacking a fleeing enemy will dispel the effect.	Червоний спалах закляття викликає жах у ворогів, які починають тікати. Атакуючи ворога, що утікає, ти знімаєш закляття.
The scroll emits a brilliant flash of red light	Сувій випускає спалах червоного світла.
The scroll emits a brilliant flash of red light and the %s flees!	Сувій випускає спалах червоного світла і %s тікає!
The scroll emits a brilliant flash of red light and the monsters flee!	Сувій випускає спалах червоного світла і монстри тікають!
Scroll of Upgrade	Сувій покращення
This scroll will upgrade a single item, improving its quality. A wand will increase in power and in number of charges; a weapon will inflict more damage or find its mark more frequently; a suit of armor will deflect additional blows; the effect of a ring on its wearer will intensify. Weapons and armor will also require less strength to use, and any curses on the item will be lifted.	Цей сувій покращує одну єдину річ, збільшуючи її якість. Сила та місткість палички зростає; зброя наносить більшої шкоди чи покращує влучність; броня отримує більший захист; можливості кілець зростуть. Зброя та броня потребуватимуть меншої сили для використання, а будь-який предмет очищено.
Select an item to upgrade	Обери предмет для покращення
READ	ЧИТАТИ
You can't read a scroll while blinded	Ти не можеш читати, поки ти осліплений
%s wand	паличку %s
ZAP	ВИСТРЕЛИТИ
This thin %s wand is warm to the touch. Who knows what it will do when used?	Ця тоненька паличка %s тепла на дотик. Хто знає, що трапиться, якщо махнути нею.
When this wand is used as a melee weapon, its average damage is %d points per hit.	Під час ближнього бою ця паличка нанесе %d одиниць шкоди.
You can use this wand as a melee weapon.	Ти не можеш використовувати цю паличку як зброю ближнього бою.
your wand fizzles; it must be out of charges for now	твоя паличка потріскує; схоже закінчився магічний заряд
You can't target yourself	Ти не можеш поцілити в себе
Choose direction to zap	Обери напрям для пострілу
holly	з гостролисту
yew	з тису
ebony	з ебоніту
cherry	з вишні
teak	з тика
rowan	з горобини
willow	з верби
mahogany	з червоного дерева
bamboo	з бамбука
purpleheart	з амаранту
oak	з дуба
birch	з берези
Wand of Amok	Паличка шаленості
The purple light from this wand will make the target run amok attacking random creatures in its vicinity.	Багрове світло з палички вимушує вказану істоту поводитись несамовито, без розбору нападаючи на всіх істот довкола.
Wand of Avalanche	Паличка обвалу
When a discharge of this wand hits a wall (or any other solid obstacle) it causes an avalanche of stones, damaging and stunning all creatures in the affected area.	Коли розряд палички вдаряє в стіну (чи іншу тверду перепону), він викликає обвал, який наносить значну шкоду по навколишнім ворогам та приголомшуючи їх.
You killed yourself with your own Wand of Avalanche...	Ти вбився власною паличкою обвалу...
Wand of Blink	Паличка стрибку
This wand will allow you to teleport in the chosen direction. Creatures and inanimate obstructions will block the teleportation.	Паличка дозволить тобі пересуватися в просторі. Істоти та неживі предмети будуть заважати перенесенню.
Wand of Disintegration	Паличка дезінтеграції
This wand emits a beam of destructive energy, which pierces all creatures in its way. The more targets it hits, the more damage it inflicts to each of them.	Ця паличка генерує руйнівний промінь енергії, який проникає крізь всіх істот на своєму шляху. Чим більше цілей він пройде, тим більше шкоди завдасть кожній з них.
Wand of Firebolt	Паличка вогнеплюй
This wand unleashes bursts of magical fire. It will ignite flammable terrain, and will damage and burn a creature it hits.	Паличка випускає згусток чарівного полум'я, який здатний підпалити що-небудь, а також завдати шкоду ворогу, підпаливши його.
You killed yourself with your own Wand of Firebolt...	Ти спалив сам себе своєю ж паличкою...
Wand of Flock	Паличка отари
A flick of this wand summons a flock of magic sheep, creating temporary impenetrable obstacle.	Паличка прикликає отару овець, які утворюють тимчасову перешкоду, яку неможливо подолати.
This is a magic sheep. What's so magical about it? You can't kill it. It will stand there until it magically fades away, all the while chewing cud with a blank stare.	Це магічна вівця. Що такого магічного? Ти не можеш її вбити. Вона стоятиме на місці та сумлінно щось жувати, аж доки магічним образом не зникне.
Baa!	Беее!
Baa?	Беее?
Baa.	Бе.
Baa...	Бее...
Bee...	Бе...
Ble...	Бвее...
Wand of Lightning	Паличка блискавки
This wand conjures forth deadly arcs of electricity, which deal damage to several creatures standing close to each other.	Ця паличка випускає розряд блискавки який вдаряє кілька цілей, що стоять поруч.
You killed yourself with your own Wand of Lightning...	Тебе спалило твоєю ж паличкою блискавки...
Wand of Magic Missile	Паличка магічних снарядів
This wand launches missiles of pure magical energy, dealing moderate damage to a target creature.	Паличка випускає розряд магічної енергії, що наносить середню шкоду.
DISENCHANT	РОЗЧАРУВАТИ
You killed yourself with your own Wand of Magic Missile...	Ти вбив сам себе своєю паличкою магічних снарядів...
Select a wand to upgrade	Обери паличку для покращення
you disenchanted the Wand of Magic Missile and used its essence to upgrade your %s	ти розчарував паличку магічних снарядів та використав для оновлення предмету %s
Wand of Poison	Паличка отрути
The vile blast of this twisted bit of wood will imbue its target with a deadly venom. A creature that is poisoned will suffer periodic damage until the effect ends. The duration of the effect increases with the level of the staff.	Цей міцний кусень деревини випускає згусток отрути, що отруює ціль. Отруєна істота отримує періодичну шкоду на протязі дії ефекту. Час дії залежить від сили палички.
Wand of Regrowth	Паличка росту
"When life ceases new life always begins to grow... The eternal cycle always remains!"	"Коли обривається життя, нове починає зростати... Безкінечний цикл не перервати!"
Wand of Slowness	Паличка сповільнення
This wand will cause a creature to move and attack at half its ordinary speed until the effect ends	Паличка накладає тимчасовий ефект, сповільнюючи ціль та швидкість атаки.
You have magically transported %s into your backpack	Ти магічним образом перемістив %s в свій рюкзак
Wand of Teleportation	Паличка перенесення
A blast from this wand will teleport a creature against its will to a random place on the current level.	Постріл з цієї палички може перенести вказану істоту у випадкове місце цього рівня, хоче воно того чи ні.
%1$s teleported %2$s to somewhere	%1$s переніс %2$s невідомо куди
nothing happened	нічого не трапилося
You are now familiar enough with your %1$s to identify it. It is %2$s.	Ти достатньо ознайомився з предметом: %1$s, аби ідентифікувати. Це %2$s.
Interaction of different types of magic has negated the enchantment on this weapon!	Взаємодія несумісних типів магії зняло зачарування з зброї!
%1$s :%2$d	%1$s :%2$d
This %1$s is %2$s tier-%3$d melee weapon.	%1$s - %2$s зброя ближнього бою %3$d рангу.
a	 
a upgraded	покращена
an degraded	послаблена
Its average damage is %d points per hit.	Середня шкода становить %d одиниць за удар.
Its typical average damage is %1$d points per hit and usually it requires %2$d points of strength.	Типова середня шкода становить %1$d одиниць за удар і, зазвичай, потребує %2$d одиниць сили.
Probably this weapon is too heavy for you.	Судячи зі всього, ця зброя заважка для тебе.
This is a rather %s weapon.	Це досить %s зброя.
fast	швидка
slow	повільна
and	та
but	але
accurate	влучна
inaccurate	невлучна
It was balanced to make it faster.	Вона збалансована для підвищеної швидкості.
It was balanced to make it more accurate.	Вона збалансована для більшої влучності.
It is enchanted.	Ця зброя зачарована
You hold the %1$s at the ready%2$s.	Ти тримаєш %1$s готовим до бійки%2$s
, and because it is cursed, you are powerless to let go	, оскільки зброя проклята, ти не можеш кинути її з рук
You can feel a malevolent magic lurking within %s.	Ти відчуваєш зловісну магію, що зачаїлася в зброї %s.
battle axe	бойова сокира
The enormous steel head of this battle axe puts considerable heft behind each stroke.	В кожному помаху цієї грізної зброї відчувається вага сталевого леза.
dagger	кинджал
A simple iron dagger with a well worn wooden handle.	Простий залізний кинджал з зручною рукояткою
glaive	глефа
A polearm consisting of a sword blade on the end of a pole.	Древкова зброя з лезом мечем на кінцівці.
knuckleduster	кастет
A piece of iron shaped to fit around the knuckles.	Залізна скоба, щільно прилягає до пальців.
longsword	довгий меч
This towering blade inflicts heavy damage by investing its heft into every cut.	Цей масивний клинок завдає великої шкоди, завалюючи на ворога всю свою вагу.
mace	булава
The iron head of this weapon inflicts substantial damage.	Залізний набалдашник цієї зброї здатний нанести великої шкоди.
quarterstaff	патериця
A staff of hardwood, its ends are shod with iron.	Посох з твердої деревини, обидва кінці якого оббиті залізом.
short sword	короткий меч
It is indeed quite short, just a few inches longer, than a dagger.	Дійсно короткий, буквально на кілька сантиметрів довший за кинджал.
REFORGE	ПЕРЕКУВАТИ
Select a weapon to upgrade	Обери зброю для покращення
you reforged the short sword to upgrade your %s	ти перекував короткий меч для покращення %s
you can't upgrade a boomerang this way	ти не можеш покращити бумеранг в цей спосіб
spear	спис
A slender wooden rod tipped with sharpened iron.	Тоненьке ратище із залізним вістрям.
sword	меч
The razor-sharp length of steel blade shines reassuringly.	Блиск гострого як бритва леза вселяє впевненість.
war hammer	бойовий молот
Few creatures can withstand the crushing blow of this towering mass of lead and steel, but only the strongest of adventurers can use it effectively.	Не багато істот можуть пережити удар такої зброї, але і не кожному мандрівнику під силу його підняти.
Missile weapon	Зброя дальнього бою
Do you really want to equip it as a melee weapon?	Ти впевнений, що хочеш використовувати це в якості зброї ближнього бою?
\n\nAverage damage of this weapon equals to %d points per hit.	\n\nСередня шкода від даної зброї складає %d одиниць за удар.
Because of your inadequate strength the accuracy and speed of your attack with this %s is decreased.	Через брак твоєї сили, швидкість та точність атаки зброєю %s знижено.
Because of your excess strength the damage of your attack with this %s is increased.	За рахунок більш ніж достатньої сили, кількість шкоди, від зброї %s, збільшено.
\n\nYou hold the %s at the ready.	\n\nТи тримаєш %s готовим до битви.
boomerang	бумеранг
Thrown to the enemy this flat curved wooden missile will return to the hands of its thrower.	Ця дерев'яна вигнута зброя, кинута у ворога, повертається до руки власника.
curare dart	дротик з кураре
These little evil darts don't do much damage but they can paralyze the target leaving it helpless and motionless for some time.	Ці маленькі зловісні дротики не здатні завдати значної шкоди, проте можуть тимчасово паралізувати ворога.
dart	дротик
These simple metal spikes are weighted to fly true and sting their prey with a flick of the wrist.	Це прості металеві шипи, ідеально підігнане для того, аби попадати в ціль.
incendiary dart	вогняний дротик
The spike on each of these darts is designed to pin it to its target while the unstable compounds strapped to its length burst into brilliant flames.	Кінчик дротика розрахований на те, аби надійно впитися в ціль, в той час як суміш, якою він змащений, охопить жертву полум'ям.
javelin	метальний спис
This length of metal is weighted to keep the spike at its tip foremost as it sails through the air.	Цей довгий метальний спис збалансовано так, аби його гостре вістря обов'язково потрапляв в ціль на протязі всього польоту.
shuriken	сюрикен
Star-shaped pieces of metal with razor-sharp blades do significant damage when they hit a target. They can be thrown at very high rate.	Гострі як бритва металеві зірки завдають суттєвої шкоди своїм цілям. Їх можна кидати з великою швидкістю.
tomahawk	томагавк
