Play	Gioca
While this armor looks heavy, it allows a warrior to perform heroic leap towards a targeted location, slamming down to stun all neighboring enemies.	Sebbene quest'armatura sembri pesante, permette a un guerriero di eseguire uno slancio eroico verso una posizione selezionata, sbattendo a terra per stordire tutti i nemici vicini.
HEROIC LEAP	SLANCIO EROICO
Only warriors can use this armor!	Solo i guerrieri possono indossare quest'armatura!
Choose direction to leap	Scegli la direzione dello slancio
%s of affection	%s dell'affetto
%s of anti-entropy	%s dell'anti-entropia
%s of bounce	%s del rimbalzo
%s of displacement	%s del dislocamento
%s of entanglement	%s dell'aggrovigliamento
%s of metabolism	%s del metabolismo
%s of multiplicity	%s della molteplicità
%s of potential	%s del potenziale
%s of stench	%s del fetore
%s of viscosity	%s della viscosità
deferred %d	differito %d
Defered damage (%d)	Danno Differito (%d)
OPEN	APRI
key ring	portachiavi
This is a copper key ring, that lets you keep all your keys separately from the rest of your belongings.	Questo è un portachiavi in rame, che ti permette di tenere tutte le tue chiavi separatamente dal resto dei tuoi averi.
scroll holder	porta pergamene
You can place any number of scrolls into this tubular container. It saves room in your backpack and protects scrolls from fire.	Puoi mettere un numero qualsiasi di pergamene in questo contenitore tubulare. Risparmia spazio nel tuo zaino e protegge le pergamene dal fuoco.
seed pouch	sacca dei semi
This small velvet pouch allows you to store any number of seeds in it. Very convenient.	Questo piccolo contenitore in velluto ti permette di conservare un numero qualsiasi di semi al suo interno. Molto comodo.
wand holster	custodia per bacchette
This slim holder is made of leather of some exotic animal. It allows to compactly carry up to %d wands.	Questa sottile custodia è fatta di pelle di qualche animale esotico. Ti permette di trasportare compattamente fino a %d bacchette.
ration of food	razione di cibo
Nothing fancy here: dried meat, some biscuits - things like that.	Niente di Stravagante qui: carne secca, qualche biscotto - cose cosi.
That food tasted delicious!	Quella roba era deliziosa!
chargrilled meat	carne grigliata
It looks like a decent steak.	Sembra una bistecca decente.
frozen carpaccio	carpaccio congelato
It's a piece of frozen raw meat. The only way to eat it is by cutting thin slices of it. And this way it's surprisingly good.	E 'un pezzo di carne cruda congelata. L'unico modo di mangiarlo è tagliandolo a fette sottili. in questo modo è sorprendentemente buono.
You feel your skin hardens!	Ti senti la pelle che si indurisce!
Refreshing!	Rinfrescante!
You feel better!	Ti senti meglio!
mystery meat	Carne Misteriosa
Eat at your own risk!	mangialo a tuo rischio!
Oh it's hot!	Oh è caldo!
You can't feel your legs!	Non ti senti le gambe!
You are not feeling well.	Non ti senti bene.
You are stuffed.	ti sei rimpinzato.
That food tasted... strange.	Quel cibo assaggiato...è strano
overpriced food ration	razione di cibo sovrapprezzata
It looks exactly like a standard ration of food but smaller.	Sembra esattamente come una razione standard di cibo ma più piccola.
That food tasted good.	questo cibo è gustoso.
pasty	pasticcio
This is authentic Cornish pasty with traditional filling of beef and potato.	Questo è un'autentico pasticcio della Cornovaglia col ripieno tradizionale di carne e patate.
golden key	chiave d'oro
The notches on this golden key are tiny and intricate. Maybe it can open some chest lock?	Le tacche su questa chiave dorata sono piccole ed intricate. Forse può aprire la serratura di qualche scrigno?
iron key	chiave di ferro
The notches on this ancient iron key are well worn; its leather lanyard is battered by age. What door might it open?	Le tacche in questa antica chiave di ferro sono logore; il suo cordoncino di pelle è martoriato dalla vecchiaia. Che porta potrebbe aprire?
iron key from depth %d	Chiave di ferro dalla profondità %d
skeleton key	Chiave scheletro
This key looks serious: its head is shaped like a skull. Probably it can open some serious door.	Questa chiave sembra molto notevole: la sua testa è plasmata a forma di teschio. Probabilmente può aprire qualche porta notevole.
%s potion	pozione %s 
This flask contains a swirling %s liquid. Who knows what it will do when drunk or thrown?	Questa boccetta contiene un vorticoso liquido %s. Chi sa che cosa farà quando bevuto o gettato atterra?
DRINK	BEVI
Harmful potion!	Pozione Malefica!
Beneficial potion	Pozione Benefica
Are you sure you want to drink it? In most cases you should throw such potions at your enemies.	Sei sicuro di volerla bere? Nella maggior parte dei casi dovresti buttare queste pozioni contro i nemici.
Are you sure you want to throw it? In most cases it makes sense to drink it.	Sei sicuro di voler buttare? Nella maggior parte dei casi ha senso bere.
The flask shatters and %s liquid splashes harmlessly	La boccetta si frantuma e un liquido %s si sparge senza provocare danno
turquoise	turchese
azure	azzurro
jade	giada
golden	oro
magenta	magenta
charcoal	carbone
ivory	avorio
amber	ambrato
indigo	indaco
silver	argento
Potion of Experience	Pozione d'Esperienza 
The storied experiences of multitudes of battles reduced to liquid form, this draught will instantly raise your experience level.	L'esperienza accumulata di moltitudini di battaglie ridotta in forma liquida. Questa pozione aumenterà istantaneamente la tua esperienza. 
Potion of Frost	Pozione di Gelo
Upon exposure to open air, this chemical will evaporate into a freezing cloud, causing any creature that contacts it to be frozen in place, unable to act and move.	All'esposizione con l'aria aperta, questo intruglio evaporerà in una nuvola congelante, causando a ogni creatura che ne verrà a contatto di essere congelata sul posto, impossibilitata a muoversi o a compiere azioni.
Potion of Healing	Pozione di Guarigione
An elixir that will instantly return you to full health and cure poison.	Un elisir che ti fa tornare in piena salute e cura il veleno.
Your wounds heal completely.	Le ferite guariscono completamente.
Potion of Invisibility	Pozione d'Invisibilità
Drinking this potion will render you temporarily invisible. While invisible, enemies will be unable to see you. Attacking an enemy, as well as using a wand or a scroll before enemy's eyes, will dispel the effect.	Bere questa pozione ti renderà temporaneamente invisibile. Mentre sei invisibile, i nemici non saranno in grado di vederti. Attaccare un nemico o usare una bacchetta o una pergamena vicino a loro annullerà l'effetto.
Potion of Levitation	Pozione di Levitazione
Drinking this curious liquid will cause you to hover in the air, able to drift effortlessly over traps. Flames and gases fill the air, however, and cannot be bypassed while airborne.	Bere questo curioso liquido ti renderà capace di levitare in aria, capace di passare senza sforzo sopra le trappole. Le fiamme e i gas colmano l'aria però, e non possono quindi essere evitate mentre sei in aria.
You float into the air!	Stai fluttuando in aria!
Potion of Liquid Flame	Pozione di Fiamma liquefatta 
This flask contains an unstable compound which will burst violently into flame upon exposure to open air.	Questa boccetta contiene un composto instabile che scoppia violentemente in fiamme in esposizione all'aria aperta.
Potion of Might	Pozione di Vigore
This powerful liquid will course through your muscles, permanently increasing your strength by one point and health by five points.	Questo potente liquido fluirà attraverso i tuoi muscoli, aumentando permanentemente la tua forza di un punto e la vita di cinque punti. 
Potion of Mind Vision	Pozione di visione mentale
After drinking this, your mind will become attuned to the psychic signature of distant creatures, enabling you to sense biological presences through walls. Also this potion will permit you to see through nearby walls and doors.	Dopo averla bevuta, la tu menta percepirà il segnale psichico di creature distanti, permettendoti di sentire presenze biologiche attraverso i muri. Inoltre questa pozione ti permetterà di vedere attraverso i muri e le porte vicine.
You can somehow feel the presence of other creatures' minds!	In qualche modo puoi sentire la presenza di menti di altre creature! 
You can somehow tell that you are alone on this level at the moment.	In qualche modo puoi dire che sei solo sul livello al momento. 
Potion of Paralytic Gas	Pozione di Gas Paralizzante
Upon exposure to open air, the liquid in this flask will vaporize into a numbing yellow haze. Anyone who inhales the cloud will be paralyzed instantly, unable to move for some time after the cloud dissipates. This item can be thrown at distant enemies to catch them within the effect of the gas.	Una volta esposta all'aria aperta, il liquido in questa boccetta si vaporizzerà in una nuova stordente giallastra. Chiunque inalienabile la nuvola sarà istantaneamente paralizzato, impossibilitato a muoversi per qualche tempo dopo che la nuvola si dissipa. Questo oggetto può esser lanciato ai nemici distanti per sorprenderli con l'effetto del gas. 
Potion of Purification	Pozione di Purificazione
This reagent will quickly neutralize all harmful gases in the area of effect. Drinking it will give you a temporary immunity to such gases.	Questo reagente neutralizzerà tutti i gas pericolosi nell'aria d'effetto. Berla ti darà un'immunità temporanea da questi gas. 
You feel uncommon freshness in the air.	Percepisci un'insolita freschezza nell'aria. 
You've stopped sensing any smells!	Non senti più nessun odore! 
Potion of Strength	Pozione di Forza
This powerful liquid will course through your muscles, permanently increasing your strength by one point.	Questo potente liquido fluirà attraverso i tuoi muscoli, aumentando permanentemente la tua forza di un punto. 
Newfound strength surges through your body.	Una nuova forza scorre attraverso il tuo corpo. 
+1 str	+1 forza
Potion of Toxic Gas	Pozione di Gas Tossico
Uncorking or shattering this pressurized glass will cause its contents to explode into a deadly cloud of toxic green gas. You might choose to fling this potion at distant enemies instead of uncorking it by hand.	Stappare o rompere questa fiala pressurizzata provocherà al suo contenuto di esplodere in una nuvola mortale di gas tossico verde. Potresti scegliere di scagliare questa pozione ai nemici distanti piuttosto che stapparla con le mani. 
corpse dust	polvere di cadavere
The ball of corpse dust doesn't differ outwardly from a regular dust ball. However, you know somehow that it's better to get rid of it as soon as possible.	La palla di polvere cadaverica non differisce esternamente da una normale palla di polvere. Comunque, in qualche modo sai che è meglio liberarsene il prima possibile.
dark gold ore	minerale aurifero oscuro
This metal is called dark not because of its color (it doesn't differ from the normal gold), but because it melts under the daylight, making it useless on the surface.	Questo metallo è chiamato oscuro non per il suo colore (non differisce dal normale oro), ma poichè si scioglie alla luce del sole, rendendolo inutile in superficie.
dried rose	rosa essiccata
The rose has dried long ago, but it has kept all its petals somehow.	Questa rosa si è seccata tanto tempo fa, ma ha conservato in qualche modo tutti i suoi petali.
dwarf token	Gettone nanico
Many dwarves and some of their larger creations carry these small pieces of metal of unknown purpose. Maybe they are jewelry or maybe some kind of ID. Dwarves are strange folk.	Molti nani ed alcune delle loro creazioni più grandi portano questi piccoli pezzi di metallo dallo scopo sconosciuto. Magari sono della gioielleria o forse qualche tipo di Identificativo. I nani sono gente strana.
EAT	MANGIA
You see your hands turn invisible!	Vedi le mani che diventano invisibili!
pickaxe	piccone
This is a large and sturdy tool for breaking rocks. Probably it can be used as a weapon.	Questo è un grosso e resistente attrezzo per spaccare pietre. Probabilmente può venir usato come arma.
MINE	ESTRAI
There is no dark gold vein near you to mine	Non c'è alcuna vena aurifera oscura vicino a te da estratte
giant rat skull	Teschio di ratto gigante
It could be a nice hunting trophy, but it smells too bad to place it on a wall.	Potrebbe essere un bel trofeo di caccia, ma puzza troppo per appenderlo ad un muro.
%s ring	%s anello
This metal band is adorned with a large %s gem that glitters in the darkness. Who knows what effect it has when worn?	L'anello di metallo è adornato da una grande gemma %s che brilla nell'oscurità. Chissà che effetto ha quando indossato?
you are now familiar enough with your %1$s to identify it. It is %2$s.	hai abbastanza familiarità con %1$s da identificarlo. È %2$s.
diamond	diamante
opal	opale
garnet	granato
amethyst	ametista
onyx	onice
tourmaline	tormalina
emerald	smeraldo
sapphire	zaffiro
quartz	quarzo
agate	agata
Your %s tightens around your finger painfully	Il tuo %s si restringe dolorosamente attorno al tuo dito.
%1$s\n\nThe %2$s is on your finger %3$s.	%1$s\n\nIl %2$s è nel tuo dito%3$s
, and because it is cursed, you are powerless to remove it	, e siccome è maledetto, non hai la capacità di rimuoverlo.
%1$s\n\nYou can feel a malevolent magic lurking within the %2$s.	%1$s\n\ni può sentire una magia maligna agguato all'interno del %2$s.
This is a %s	Questo è un %s
Ring of Accuracy	Anello della Precisione
This ring increases your chance to hit the enemy.	Questo anello aumenta la possibilità di colpire il nemico.
Ring of Detection	Anello di rilevamento
Wearing this ring will allow the wearer to notice hidden secrets - traps and secret doors - without taking time to search. Degraded rings of detection will dull your senses, making it harder to notice secrets even when actively searching for them.	Questo anello permetterà a chi lo indossa di notare segreti nascosti - trappole e porte segrete - senza prendere tempo per la ricerca. Anelli degradati di rilevazione verranno spenti, rendendo più difficile notare segreti anche quando alla ricerca di loro
Ring of Elements	Anello degli Elementi
This ring provides resistance to different elements, such as fire, electricity, gases etc. Also it decreases duration of negative effects.	Questo anello fornisce la resistenza a diversi elementi, come il fuoco, elettricità, gas ecc...Inoltre diminuisce la durata degli effetti negativi.
Ring of Evasion	Anello d'Evasione
This ring increases your chance to dodge enemy attack.	Questo anello aumenta la possibilità di schivare l'attacco nemico.
Ring of Haggler	Anello di Haggler
In fact this ring doesn't provide any magic effect, but it demonstrates to shopkeepers and vendors, that the owner of the ring is a member of The Thieves' Guild. Usually they are glad to give a discount in exchange for temporary immunity guarantee. Upgrading this ring won't give any additional bonuses.	In realtà questo anello non fornisce alcun effetto magico, ma dimostra ai negozianti e fornitori, che il proprietario dell'anello  Di solito sono felici di fare uno sconto in cambio d'immunità temporanea. Aggiornamento di questo anello non darà alcun bonus aggiuntivi.
Ring of Haste	Anello di Rapidità
This ring accelerates the wearer's flow of time, allowing one to perform all actions a little faster.	Questo anello accelera il flusso di chi la indossa di tempo, permettendo di eseguire tutte le azioni un po 'più veloce.
Ring of Herbalism	Anello di Erboristeria
This ring increases your chance to gather dew and seeds from trampled grass.	Questo anello aumenta la probabilità di raccogliere rugiada e semi di erba calpestata.
Ring of Mending	Anello di Mending
This ring increases the body's regenerative properties, allowing one to recover lost health at an accelerated rate. Degraded rings will decrease or even halt one's natural regeneration.	Questo anello aumenta le proprietà rigenerative del corpo, permettendo di recuperare la salute perduta ad un ritmo accelerato. Anelli degradati diminuiranno o addirittura fermeranno la propria rigenerazione naturale.
Ring of Power	Anello del Potere
Your wands will become more powerful in the energy field that radiates from this ring. Degraded rings of power will instead weaken your wands.	Le bacchette diventeranno più potenti nel campo di energia che si irradia da questo anello. Anelli degradati di forza di volontà, invece indebolisce le bacchette.
Ring of Satiety	Anello di Sazietà
Wearing this ring you can go without food longer. Degraded rings of satiety will cause the opposite effect.	Indossare questo anello si può andare senza cibo più a lungo. Anelli degradati di sazietà causerà l'effetto opposto.
Ring of Shadows	Anello dell'Ombra
Enemies will be less likely to notice you if you wear this ring. Degraded rings of shadows will alert enemies who might otherwise not have noticed your presence.	I nemici saranno meno propensi a notare se si indossa questo anello. Anelli degradati d'ombra avviserà i nemici che non hanno notato la tua presenza.
Ring of Thorns	Anello di Spine
Though this ring doesn't provide real thorns, an enemy that attacks you will itself be wounded by a fraction of the damage that it inflicts. Upgrading this ring won't give any additional bonuses.	Anche se questo anello non fornisce spine reali, un nemico che ti attacca sarà a sua volta ferito da una frazione del danno che infligge. Aggiornamento di questo anello non darà alcun bonus aggiuntivi.
scroll "%s"	Pergamena "%s"
This parchment is covered with indecipherable writing, and bears a title of rune %s. Who knows what it will do when read aloud?	Questa pergamena è coperta con una scrittura indecifrabile, e porta un titolo di runa %s. Chi sa che cosa farà quando si legge ad alta voce?
KAUNAN	KAUNAN
SOWILO	SOWILO
LAGUZ	LAGUZ
YNGVI	YNGVI
GYFU	GYFU
RAIDO	RAIDO
ISAZ	ISAZ
MANNAZ	MANNAZ
NAUDIZ	NAUDIZ
BERKANAN	BERKANAN
ODAL	ODAL
TIWAZ	TIWAZ
Select an item	Seleziona un item
Do you really want to cancel this scroll usage? It will be consumed anyway.	Vuoi davvero cancellare questa pergamena? Sarà comunque consumata.
Yes, I'm positive	Si,sono positivo\n
Scroll of Challenge	Pergamena della Sfida
When read aloud, this scroll will unleash a challenging roar that will awaken all monsters and alert them to the reader's location.	Quando si legge ad alta voce, questa pergamena scatenerà un boato impegnativo che risveglierà tutti i mostri e li avvisa della posizione del lettore.
The scroll emits a challenging roar that echoes throughout the dungeon!	La pergamena emette un ruggito impegnativo, che riecheggia in tutto il Dungeon!
Scroll of Identify	Pergamena dell'identità
Permanently reveals all of the secrets of a single item.	rivela definitivamente tutti i segreti di un singolo elemento.
Select an item to identify	Seleziona un item da identificare
It is %s	questo è %s
Scroll of Lullaby	Pergamena del sonno
A soothing melody will put all creatures in your field of view into a deep sleep, giving you a chance to flee or make a surprise attack on them.	Una melodia rilassante metterà tutte le creature nel vostro campo visivo in un sonno profondo, dandovi la possibilità di fuggire o fare un attacco a sorpresa contro di loro.
The scroll utters a soothing melody.	la pergamena emette una melodia rilassante.
The scroll utters a soothing melody and the %s falls asleep!	la pergamena emette una melodia rilassante e %s si addormenta!
The scroll utters a soothing melody and the monsters fall asleep!	la pergamena emette una melodia rilassante e i mostri si addormentano!
Scroll of Magic Mapping	Pergamena della Magia Mappata
When this scroll is read, an image of crystal clarity will be etched into your memory, alerting you to the precise layout of the level and revealing all hidden secrets. The locations of items and creatures will remain unknown.	Quando questa pergamena viene letta, un'immagine di una chiarezza cristallina rimarrà impressa nella vostra memoria, per segnalare la disposizione precisa del livello e rivelando tutti i segreti nascosti. Le posizioni di oggetti e creature rimarranno sconosciute.
You are now aware of the level layout.	Ora siete a conoscenza del layout del livello
Scroll of Mirror Image	Pergamena dell'immagine riflessa
The incantation on this scroll will create illusionary twins of the reader, which will chase his enemies.	L'incantesimo su questa pergamena creerà gemelli illusori, che inseguiranno i suoi nemici.
Scroll of Psionic Blast	Pergamena di Esplosione psichica
This scroll contains destructive energy, that can be psionically channeled to inflict a massive damage to all creatures within a field of view. An accompanying flash of light will temporarily blind everybody in the area of effect including the reader of the scroll.	Questa pergamena contiene energia distruttiva, che può essere incanalata psionicamente per infliggere un danno enorme per tutte le creature all'interno del campo di vista. Un flash che accompagna la luce sarà temporaneamente ciechi tutti nella zona di effetti, tra cui il lettore della pergamena
Scroll of Recharging	Pergamena di ricarica
The raw magical power bound up in this parchment will, when released, recharge all of the reader's wands to full power.	Il potere magico grezzo legata a questa pergamena verrà, quando viene rilasciato, ricaricare tutte le bacchette del lettore a piena potenza.
a surge of energy courses through your pack, recharging your wand	un aumento di corsi di energia attraverso il vostro pacco, ricarica la tua bacchetta
a surge of energy courses through your pack, recharging your wands	un aumento di corsi di energia attraversa il vostro pacco, e ricarica le tue bacchette
a surge of energy courses through your pack, but nothing happens	un aumento di corsi di energia attraversa il vostro pacco, ma non succede nulla
Scroll of Remove Curse	Pergamena di Rimozione Maledizione
The incantation on this scroll will instantly strip from the reader's weapon, armor, rings and carried items any evil enchantments that might prevent the wearer from removing them.	L'incantesimo di questa pergamena rimuoverà all'istante dalle armi, dalle armature, dagli anelli e dagli oggetti equipaggiati ogni magia maligna che potrebbero impedire al proprietario di toglierli.
Your pack glows with a cleansing light, and a malevolent energy disperses.	Il tuo pacco si illumina, e disperde un'energia malevole
Your pack glows with a cleansing light, but nothing happens.	Il tuo pacco si illumina, ma non succede nulla.
Scroll of Teleportation	Pergamena di Teletrasporto
The spell on this parchment instantly transports the reader to a random location on the dungeon level. It can be used to escape a dangerous situation, but the unlucky reader might find himself in an even more dangerous place.	La magia su questa pergamena teletrasporterà istantaneamente chi la legge in un punto qualsiasi del dungeon. Può essere usata per scappare da una situazione pericolosa, ma un lettore sfortunato potrebbe ritrovarsi in una situazione ancora peggiore.
In a blink of an eye you were teleported to another location of the level.	In un batter d'occhio si sono teletrasportati in un'altra posizione del dungeon
Strong magic aura of this place prevents you from teleporting!	la forte aura magica di questo luogo impedisce il teletrasporto!
Scroll of Terror	Pergamena del Terrore
A flash of red light will overwhelm all creatures in your field of view with terror, and they will turn and flee. Attacking a fleeing enemy will dispel the effect.	Un lampo di luce rossa sopraffane tutte le creature nel vostro campo visivo con il terrore, e si gireranno e fuggiranno. Attaccare un nemico in fuga farà dissipare l'effetto.
The scroll emits a brilliant flash of red light	La pergamena emette un brillante lampo di luce rossa
The scroll emits a brilliant flash of red light and the %s flees!	La pergamena emette un brillante lampo di luce rossa e L' %s fugge!
The scroll emits a brilliant flash of red light and the monsters flee!	La pergamena emette un brillante lampo di luce rossa e i mostri fuggiscono
Scroll of Upgrade	Pergamena d'aggiornamento
This scroll will upgrade a single item, improving its quality. A wand will increase in power and in number of charges; a weapon will inflict more damage or find its mark more frequently; a suit of armor will deflect additional blows; the effect of a ring on its wearer will intensify. Weapons and armor will also require less strength to use, and any curses on the item will be lifted.	Questa pergamena migliorerà un singolo oggetto, aumentando la sua qualità. Una bacchetta aumenterà in potenza e in numero di cariche; un'arma infliggerà più danno o colpirà più spesso; un'armatura parerà un maggiore numero di colpi; l'effetto di un anello su chi lo indossa diverrà più intenso. Inoltre le armi e le armature richiederanno meno forza per essere usate e ogni maledizione presente sull'oggetto svanirà.
Select an item to upgrade	Seleziona un item d'aggiornare
READ	LEGGI
You can't read a scroll while blinded	Non è possibile leggere una pergamena mentre sei accecato
%s wand	Bacchetta di %s
ZAP	ZAP
This thin %s wand is warm to the touch. Who knows what it will do when used?	Questo sottile %s bacchetta è calda al tatto. Chi sa che cosa farà quando viene utilizzata?
When this wand is used as a melee weapon, its average damage is %d points per hit.	Quando questa bacchetta viene usata come arma da mischia, il suo danno medio è di %d punti per colpo.
You can use this wand as a melee weapon.	Puoi usare questa bacchetta come arma da mischia.
your wand fizzles; it must be out of charges for now	la bacchetta sfarfalla; dev'essere finita l'energia
You can't target yourself	Non ti puoi colpire da solo
Choose direction to zap	Scegli la direzione dove colpire
holly	Agrifoglio
yew	Tasso
ebony	Ebano
cherry	Ciliegio
teak	Tectona
rowan	Sorbo
willow	Salice
mahogany	Mogano
bamboo	Bambù
purpleheart	Amarante
oak	Quercia
birch	Betulla
Wand of Amok	Bacchetta della Follia
The purple light from this wand will make the target run amok attacking random creatures in its vicinity.	La luce viola di questa bacchetta farà impazzire il bersaglio che attaccherà creature a caso nelle sue vicinanze.
Wand of Avalanche	Bacchetta della Valanga 
When a discharge of this wand hits a wall (or any other solid obstacle) it causes an avalanche of stones, damaging and stunning all creatures in the affected area.	Quando una scarica di questa bacchetta colpisce un muro (o qualsiasi altro ostacolo solido) provoca una valanga di pietre, danneggiando e bloccando tutte le creature nella zona interessata.
You killed yourself with your own Wand of Avalanche...	Ti sei ucciso da solo con la bacchetta della Valanga...
Wand of Blink	Bacchetta del Teletrasporto
This wand will allow you to teleport in the chosen direction. Creatures and inanimate obstructions will block the teleportation.	Questa bacchetta ti permette di teletrasportarti nella direzione scelta. Creature e ostacoli inanimati bloccheranno il teletrasporto.
Wand of Disintegration	Bacchetta della Disintegrazione
This wand emits a beam of destructive energy, which pierces all creatures in its way. The more targets it hits, the more damage it inflicts to each of them.	Questa bacchetta emette un fascio di energia distruttiva, colpendo tutte le creature sulla sua strada. Più obiettivi colpisce più danni infligge a ciascuno di essi.
Wand of Firebolt	Bacchetta del Fuoco
This wand unleashes bursts of magical fire. It will ignite flammable terrain, and will damage and burn a creature it hits.	Questa bacchetta scatena esplosioni di fuoco magico. Può incendiare terreni infiammabili e/o danneggiare e bruciare eventuali creature colpite.
You killed yourself with your own Wand of Firebolt...	Ti sei ucciso da solo con la bacchetta del Fuoco...
Wand of Flock	Bacchetta del Gregge
A flick of this wand summons a flock of magic sheep, creating temporary impenetrable obstacle.	Questa bacchetta può evocare un gregge di pecore, creando temporaneamente un ostacolo impenetrabile.
sheep	pecora
This is a magic sheep. What's so magical about it? You can't kill it. It will stand there until it magically fades away, all the while chewing cud with a blank stare.	Questa è una pecora magica. Cos'ha di così magico? Non la puoi uccidere. Starà lì per un po, fino a che non svanirà per magia. Impiegherà tutto il suo tempo a masticare l'erba che trova.
Baa!	Baa!
Baa?	Baa?
Baa.	Baa.
Baa...	Baa...
Bee...	Bee...
Ble...	Ble...
Wand of Lightning	Bacchetta del Fulmine
This wand conjures forth deadly arcs of electricity, which deal damage to several creatures standing close to each other.	Questa bacchetta genera fasci mortali di elettricità, provocando danni a diverse creature vicine tra loro.
You killed yourself with your own Wand of Lightning...	Ti sei ucciso da solo con la bacchetta del Fulmine...
Wand of Magic Missile	Bacchetta del Missile Magico
This wand launches missiles of pure magical energy, dealing moderate damage to a target creature.	Questa bacchetta lancia missili di pura energia magica, infliggendo danni moderati alla creatura colpita.
DISENCHANT	Disincanta
You killed yourself with your own Wand of Magic Missile...	Ti sei ucciso da solo con la bacchetta del Missile Magico...
Select a wand to upgrade	Seleziona una bacchetta da migliorare
you disenchanted the Wand of Magic Missile and used its essence to upgrade your %s	Hai disincantato la bacchetta di missile magico ed hai usato la sua essenza per aggiornare %s
Wand of Poison	Bacchetta Di Veleno
The vile blast of this twisted bit of wood will imbue its target with a deadly venom. A creature that is poisoned will suffer periodic damage until the effect ends. The duration of the effect increases with the level of the staff.	L'esplosione vile di questo bit intrecciato di legno sarà infondere il suo obiettivo con un veleno mortale. Una creatura che viene avvelenato subiranno danni periodica fino a quando l'effetto finisce. La durata dell'effetto aumenta con il livello del personale.
Wand of Regrowth	Bacchetta Di Ricrescita
"When life ceases new life always begins to grow... The eternal cycle always remains!"	"Quando la vita cessa una nuova vita inizia sempre a crescere... Il ciclo eterno rimane sempre!"
Wand of Slowness	Bacchetta di Lentezza
This wand will cause a creature to move and attack at half its ordinary speed until the effect ends	Questa bacchetta non farà muovere e attaccare alla metà della sua velocità normale una creatura alla metà della sua velocità normale fino al termine effetto
You have magically transported %s into your backpack	si è magicamente trasportato %s nel vostro zaino
Wand of Teleportation	Bacchetta di Teletrasporto
A blast from this wand will teleport a creature against its will to a random place on the current level.	Un tuffo e questa bacchetta  teletrasporterà una creatura contro la sua volontà in un posto a caso sul livello attuale.
%1$s teleported %2$s to somewhere	%1$s teletrasportato %2$s da qualche parte 
nothing happened	non è successo nulla
You are now familiar enough with your %1$s to identify it. It is %2$s.	Hai abbastanza confidenza con %1$s per procedere all'identificazione. È %2$s..
Interaction of different types of magic has negated the enchantment on this weapon!	L'interazione di diversi tipi di magia ha annullato l'incantesimo su questa arma
%1$s :%2$d	%1$s :%2$d
grim %s	Lugubre %s
blazing %s	Ardente%s
eldritch %s	Soprannaturale %s
unstable %s	Instabile %s
vampiric %s	del Vampiro %s
lucky %s	della Fortuna %s
stunning %s	Stordente %s
venomous %s	Velenoso %s
chilling %s	del Freddo %s
This %1$s is %2$s tier-%3$d melee weapon.	%1$s è %2$s livello-%3$d arma da mischia.
a	un 
a upgraded	un potenziato
an degraded	un degradato
Its average damage is %d points per hit.	il suo massimo danno è di %d punti per colpo.
Its typical average damage is %1$d points per hit and usually it requires %2$d points of strength.	Il suo normale massimo danno è di %1$d punti per colpo e usualmente richiede %2$d punti di forza
Probably this weapon is too heavy for you.	Questa arma è probabilmente troppo pesante per te.
This is a rather %s weapon.	Questa è un'arma piuttosto %s .
fast	veloce
slow	lenta
and	e 
but	ma 
accurate	precisa
inaccurate	imprecisa
It was balanced to make it faster.	E' stata bilanciata per renderla più veloce.
It was balanced to make it more accurate.	E' stata bilanciata per renderla più precisa.
It is enchanted.	E' incantata.
You hold the %1$s at the ready%2$s.	tu tieni le %1$s a portata di mano%2$s.
, and because it is cursed, you are powerless to let go	,e dato che questo è maledetto,tu sei impedito dal andartene
You can feel a malevolent magic lurking within %s.	Puoi percepire un'energia malevola aleggiare all interno del%s. 
battle axe	ascia da battaglia
The enormous steel head of this battle axe puts considerable heft behind each stroke.	un enorme elmo d'acciaio di questa battaglia mette un notevole peso alle spalle ad ogni colpo
dagger	pugnale
A simple iron dagger with a well worn wooden handle.	un semplice pugnale di ferro con un manico di legno ben messo
glaive	falcione
A polearm consisting of a sword blade on the end of a pole.	Una lancia consiste in una lama all'estremità di un bastone. 
knuckleduster	tirapugni 
A piece of iron shaped to fit around the knuckles.	Un pezzo di ferro lavorato per calzare intorno alle nocche. 
longsword	spada lunga
This towering blade inflicts heavy damage by investing its heft into every cut.	Questa 
mace	mazza
The iron head of this weapon inflicts substantial damage.	La testa di ferro di quest'arma infligge danni sostanziali. 
quarterstaff	Bastone
A staff of hardwood, its ends are shod with iron.	Una mazza di legno duro che termina con una sfera di ferro. 
short sword	spada corta
It is indeed quite short, just a few inches longer, than a dagger.	È sicuramente un po' corta, solo qualche pollice in più  di pugnale. 
REFORGE	riforgia
Select a weapon to upgrade	seleziona l'arma che vuoi aggiornare
you reforged the short sword to upgrade your %s	hai riforgiato la spada corta per aggiornare la tua %s
you can't upgrade a boomerang this way	non puoi aggiornare un boomerang in questo modo 
spear	lancia
A slender wooden rod tipped with sharpened iron.	Un'asta di legno sottile che termina con una lama affilata. 
sword	spada
The razor-sharp length of steel blade shines reassuringly.	L' affilatura di questa lama d'acciaio brilla sicuramente. 
war hammer	martello da guerra
