Play	Oyna
Only huntresses can use this armor!	Sadece avcılar bu zırhı kullanabilir!
leather armor	deri zırh
Armor made from tanned monster hide. Not as light as cloth armor but provides better protection.	Sertleştirilmiş canavar derisinden yapılmış zırh. Kumaş zırh kadar hafif değil fakat daha iyi koruma sağlar.
mage robe	büyücü kaftanı
Wearing this gorgeous robe, a mage can cast a spell of molten earth: all the enemies in his field of view will be set on fire and unable to move at the same time.	Bu gösterişli kaftanı giyen bir büyücü, erimiş yeryüzü büyüsünü yapabilir: görüşündeki tüm düşmanları ateşe verir ve aynı zamanda hareket edemez hale getirir.
MOLTEN EARTH	ERİMİŞ TOPRAK
Only mages can use this armor!	Sadece büyücüler bu zırhı kullanabilir!
mail armor	metal örgü zırh
Interlocking metal links make for a tough but flexible suit of armor.	İç içe geçen metal bağlantılar esnek ve güçlü bir zırh ortaya çıkarmış.
plate armor	plaka zırh
Enormous plates of metal are joined together into a suit that provides unmatched protection to any adventurer strong enough to bear its staggering weight.	Devasa metal parçaları biraraya gelerek ağırlığının taşıyabilen delikanlılara hakkını veren eşşiz bir zırh ortaya çıkarmış.
rogue garb	haydut kıyafeti
Wearing this dark garb, a rogue can perform a trick, that is called "smoke bomb" (though no real explosives are used): he blinds enemies who could see him and jumps aside.	Bu kara kıyafeti giyen bir casus, "sis bombası" (patlayıcı olmamasına rağmen) adındaki numarasını yapar; tüm düşmanlarını kör eder ve ortamdan uzaklaşır.
SMOKE BOMB	SİS BOMBASI
Only rogues can use this armor!	Bu zırhı sadece haydutlar kullanabilir!
You can only jump to an empty location in your field of view	Sadece görüş alanındaki boş bir yere zıplayabilirsin
Choose a location to jump to	Zıplamak için bir yer seç
scale armor	pul zırh
The metal scales sewn onto a leather vest create a flexible, yet protective armor.	Deri bir yelek üzerine dikilmiş metal pullar esnek ve koruyucu bir zırh oluşturmuş.
warrior suit of armor	savaşçı zırhı
While this armor looks heavy, it allows a warrior to perform heroic leap towards a targeted location, slamming down to stun all neighboring enemies.	Bu zırh ağır gözükürken, aynı zamanda savaşçıya belirtilen bölgeye doğru epik zıplama gerçekleştirmesini sağlar, zıplanılan yere bitişik tüm düşmanları sersemletir.
HEROIC LEAP	KAHRAMANCA SIÇRAMA
Only warriors can use this armor!	Sadece savaşçılar bu zırhı kullanabilir!
Choose direction to leap	Sıçramak için yön seçin
%s of affection	Çekiciliğin %sı
%s of anti-entropy	Anti-entropik %sı
%s of bounce	Sıçratan %sı
%s of displacement	yer değiştirme %s
%s of entanglement	dolaşıklığın %s'ı
%s of metabolism	Metabolizmanın %sı
%s of multiplicity	Çoğulculuğun %sı
%s of potential	Potansiyel %s
%s of stench	Kokuşmuş %s
%s of viscosity	Ayırıcılığın %sı
deferred %d	%d gecikmeli
Defered damage (%d)	Ertelenmiş Hasar (%d)
OPEN	AÇ
key ring	Anahtarlık
This is a copper key ring, that lets you keep all your keys separately from the rest of your belongings.	Bu bakır anahtarlık, tüm anahtarlarınızı diğer eşyalarınızdan ayrı olarak saklamanızı sağlar.
scroll holder	Parşömen çantası
You can place any number of scrolls into this tubular container. It saves room in your backpack and protects scrolls from fire.	Bu tüp şeklindeki çantaya parşömenlerini saklayarak çantanda boş yer açabilir ve yanmaya karşı korursun
seed pouch	tohum kesesi
This small velvet pouch allows you to store any number of seeds in it. Very convenient.	Bu küçük kadife kesede tohumlarını saklayabilirsin.
wand holster	Asa çantası
This slim holder is made of leather of some exotic animal. It allows to compactly carry up to %d wands.	Bu tuhaf hayvan derisinden yapılmış ince çanta ile %d asa taşıyabilirsiniz.
ration of food	porsiyon
Nothing fancy here: dried meat, some biscuits - things like that.	Pek büyütülecek bişey değil: kuru et, biraz bisküvi falan filan.
That food tasted delicious!	Bu yemek lezzetliydi!
chargrilled meat	kebap
It looks like a decent steak.	Ortalama bir biftek gibi görünüyor.
frozen carpaccio	donmuş italyan mezesi
It's a piece of frozen raw meat. The only way to eat it is by cutting thin slices of it. And this way it's surprisingly good.	Donmuş et parçası. Yemenin tek yolu ince kesmek. Gurme değilim ama tadı enfes.
You feel your skin hardens!	Vücudunun sertleştiğini hissediyorsun!
Refreshing!	Ferahlatıcı!
You feel better!	Daha iyi hissediyorsun!
mystery meat	gizemli et
Eat at your own risk!	Yemek ya da yememek, hepsi sana bağlı!
Oh it's hot!	Sıcakmış lan!
You can't feel your legs!	Bacaklarını hissetmiyorsun!
You are not feeling well.	Kendini iyi hissetmiyorsun.
You are stuffed.	Doydun.
That food tasted... strange.	Bunun tadı... garipti.
overpriced food ration	kazık fiyatlı porsiyon
It looks exactly like a standard ration of food but smaller.	Standart porsiyon gibi görünüyor ama daha küçük.
That food tasted good.	Bu yemek güzeldi.
pasty	börek
This is authentic Cornish pasty with traditional filling of beef and potato.	Bu üzeri geleneksel et ve patatesle dolu otantik etli börek.
golden key	altın anahtar
The notches on this golden key are tiny and intricate. Maybe it can open some chest lock?	Bu altın anahtar ile kilitli bir sandığı açabilirsin
iron key	demir anahtar
The notches on this ancient iron key are well worn; its leather lanyard is battered by age. What door might it open?	Bu anahtar ile bir kapıyı açabilirsin
iron key from depth %d	%d . seviyeden demir anahtar
skeleton key	iskelet anahtar
This key looks serious: its head is shaped like a skull. Probably it can open some serious door.	Çok ağırbaşlı duruyor. Bununla önemli bir kapıyı açabilirsin.
%s potion	%s iksiri
This flask contains a swirling %s liquid. Who knows what it will do when drunk or thrown?	Bu şişe girdap gibi dönen %s sıvısıyla dolu. İçildiğinde veya fırlatıldığında ne olacağını kim bilir?
DRINK	İÇ
Harmful potion!	Zararlı iksir!
Beneficial potion	Faydalı iksir
Are you sure you want to drink it? In most cases you should throw such potions at your enemies.	İçmek istediğine emin misin? Genellikle bu tarz iksirleri düşmanlarına fırlatmalısın.
Are you sure you want to throw it? In most cases it makes sense to drink it.	Fırlatmat istedğine emin misin? Genelde bu iksirleri içmek daha mantıklıdır.
The flask shatters and %s liquid splashes harmlessly	Şişe kırıldı ve %s sıvı zararsızca etrafa sıçradı
turquoise	turkuaz
crimson	kızıl
azure	gökmavisi
jade	yeşim yeşili
golden	altın sarısı
magenta	eflatun
charcoal	kara
ivory	fildişi
amber	kehribar rengi
bistre	kahverengi
indigo	çivit mavisi
silver	gümüş rengi
Potion of Experience	Deneyim İksiri
The storied experiences of multitudes of battles reduced to liquid form, this draught will instantly raise your experience level.	Efsanevi savaşların deneyiminin sıvı formu, bu iksir deneyim puanını anında arttıracaktır.
Potion of Frost	Don İksiri
Upon exposure to open air, this chemical will evaporate into a freezing cloud, causing any creature that contacts it to be frozen in place, unable to act and move.	Açık havaya maruz kaldığında, bu kimyasal buharlaşarak dondurucu bir buluta dönüşür ve onunla temas eden herhangi bir canlının yerinde donmasına, hareket edememesine ve yerinden kıpırdayamamasına neden olur.
Potion of Healing	İyileştirme İksiri
An elixir that will instantly return you to full health and cure poison.	Sizi anında tam sağlığa kavuşturacak ve zehri iyileştirecek bir iksir.
Your wounds heal completely.	Yaraların tamamen iyileşti.
Potion of Invisibility	Görünmezlik İksiri
Drinking this potion will render you temporarily invisible. While invisible, enemies will be unable to see you. Attacking an enemy, as well as using a wand or a scroll before enemy's eyes, will dispel the effect.	Bu iksiri içtiğinizde geçici olarak görünmez olursunuz. Görünmezken, düşmanlar sizi göremeyecektir. Bir düşmana saldırmanın yanı sıra düşmanın gözleri önünde bir asa veya parşömen kullanmak etkiyi ortadan kaldıracaktır.
You see your hands turn invisible!	Ellerinin görünmez oluşunu görüyorsun!
Potion of Levitation	Havaya Yükselme İksiri
Drinking this curious liquid will cause you to hover in the air, able to drift effortlessly over traps. Flames and gases fill the air, however, and cannot be bypassed while airborne.	Bu ilginç sıvıyı içmek havada asılı kalmanıza ve tuzakların üzerinde zahmetsizce sürüklenmenize neden olur. Ancak alevler ve gazlar havayı doldurur ve havadayken atlanamaz.
You float into the air!	Havada süzülüyorsun!
Potion of Liquid Flame	Sıvı Alev İksiri
This flask contains an unstable compound which will burst violently into flame upon exposure to open air.	Bu şişe, açık havaya maruz kaldığında şiddetli bir şekilde alev alacak kararsız bir bileşik içermektedir.
Potion of Might	Güç İksiri
This powerful liquid will course through your muscles, permanently increasing your strength by one point and health by five points.	Bu güçlü sıvı kaslarınızdan geçerek gücünüzü kalıcı olarak bir puan ve sağlığınızı beş puan artıracaktır.
+1 str, +5 ht	+1 güç, +5 can
Potion of Mind Vision	Zihin Görme İksiri
After drinking this, your mind will become attuned to the psychic signature of distant creatures, enabling you to sense biological presences through walls. Also this potion will permit you to see through nearby walls and doors.	Bunu içtikten sonra, zihniniz uzaktaki yaratıkların psişik imzasına uyum sağlayacak ve biyolojik varlıkları duvarlardan algılamanızı sağlayacaktır. Ayrıca bu iksir, yakındaki duvarların ve kapıların arkasını görmenizi sağlayacaktır.
You can somehow feel the presence of other creatures' minds!	Bir şekilde diğer yaratıkların zihinlerini okuyabiliyorsun!
You can somehow tell that you are alone on this level at the moment.	Şu anda bu seviyede yalnız olduğunu hissediyorsun.
Potion of Paralytic Gas	Felç Edici Gaz İksiri
Upon exposure to open air, the liquid in this flask will vaporize into a numbing yellow haze. Anyone who inhales the cloud will be paralyzed instantly, unable to move for some time after the cloud dissipates. This item can be thrown at distant enemies to catch them within the effect of the gas.	Açık havaya maruz kaldığında, bu şişedeki sıvı buharlaşarak uyuşturan sarı bir pus haline gelecektir. Bulutu soluyan herkes anında felç olur ve bulut dağıldıktan sonra bir süre hareket edemez. Bu eşya uzaktaki düşmanlara fırlatılarak onları gazın etkisi altına alabilir.
Potion of Purification	Arınma İksiri
This reagent will quickly neutralize all harmful gases in the area of effect. Drinking it will give you a temporary immunity to such gases.	Bu reaktif, etki alanındaki tüm zararlı gazları hızla nötralize edecektir. Bunu içmek size bu tür gazlara karşı geçici bir bağışıklık kazandıracaktır.
You feel uncommon freshness in the air.	Havada alışılmadık bir tazelik hissediliyor.
You've stopped sensing any smells!	Hiç bir kokuyu alamıyorsun!
Potion of Strength	Güç İksiri
This powerful liquid will course through your muscles, permanently increasing your strength by one point.	Bu güçlü sıvı kaslarınızdan geçerek gücünüzü kalıcı olarak bir puan artıracaktır.
Newfound strength surges through your body.	Yeni keşfedilen güç vücudunuzda dalgalanır.
+1 str	+1 güç
Potion of Toxic Gas	Zehirli Gaz İksiri
Uncorking or shattering this pressurized glass will cause its contents to explode into a deadly cloud of toxic green gas. You might choose to fling this potion at distant enemies instead of uncorking it by hand.	Bu basınçlı bardağın tıpasını açmak veya kırmak, içindekilerin ölümcül bir zehirli yeşil gaz bulutu halinde patlamasına neden olur. Bu iksiri elle açmak yerine uzaktaki düşmanlara fırlatmayı tercih edebilirsiniz.
corpse dust	ceset tozu
The ball of corpse dust doesn't differ outwardly from a regular dust ball. However, you know somehow that it's better to get rid of it as soon as possible.	Ceset tozu , diğer toz topaklarından farklı görünmüyor. Belkide bir şekilde bundan kurtulman en iyisi
dark gold ore	kara altın damarı
This metal is called dark not because of its color (it doesn't differ from the normal gold), but because it melts under the daylight, making it useless on the surface.	Bu metal sadece renginden dolayı kara olarak anılmıyor, gün ışığında erimesinden dolayı yüzeyden tamamen kullanışsız
dried rose	kuru gül
The rose has dried long ago, but it has kept all its petals somehow.	Bu gül uzun zaman önce kurumuş, fakat nasıl olduysa tüm yaprakları üzerinde.
dwarf token	cüce simgesi
Many dwarves and some of their larger creations carry these small pieces of metal of unknown purpose. Maybe they are jewelry or maybe some kind of ID. Dwarves are strange folk.	Bir çok cüce bu metal parçasını bilinmeyen bir amaçlar üzerinde taşırdı.Bir mücevher veya kimlik olabilir, Cüceler çok garip bir halktır kimbilir ?.
EAT	YE
pickaxe	kazma
This is a large and sturdy tool for breaking rocks. Probably it can be used as a weapon.	Bu büyük ve sağlam araç ile kayaları kırabilirsin.Bir silah olarakta kullanılabilir.
MINE	KAZ
There is no dark gold vein near you to mine	Yakında kazılacak bir kara altın damarı yok
giant rat skull	dev sıçan kafatası
It could be a nice hunting trophy, but it smells too bad to place it on a wall.	Güzel bir av ganimeti olabilir ama duvara asmak için çok kötü kokuyor.
%s ring	%s yüzük
This metal band is adorned with a large %s gem that glitters in the darkness. Who knows what effect it has when worn?	Metal halka üzerinde karanlıkta parlayan kocaman bir %s mücevheri duruyor. Kim bilir acaba giydiğinde ne etkileri olacak?
you are now familiar enough with your %1$s to identify it. It is %2$s.	Artık %1$s'nü tanımlayabilecek kadar aşinasınız. Bu %2$s.
diamond	elmas
opal	opal
garnet	lal
ruby	yakut
amethyst	ametist
topaz	topaz
onyx	oniks
tourmaline	turmalin
emerald	zümrüt
sapphire	safir
quartz	kuvars
agate	akik
Your %s tightens around your finger painfully	%s parmağınızı acıyla sıkıyor.
%1$s\n\nThe %2$s is on your finger %3$s.	%1$s\n\n %2$s parmağında%3$s
, and because it is cursed, you are powerless to remove it	ve lanetli olduğu için onu ortadan kaldıracak gücün yok.
%1$s\n\nYou can feel a malevolent magic lurking within the %2$s.	%1$s\n\n%2$s üzerinde gizlenmiş kötü büyüyü hissediyorsun.
This is a %s	Bu bir %s
Ring of Accuracy	İsabet Yüzüğü
This ring increases your chance to hit the enemy.	Bu yüzük rakibe vurma şansını arttırır.
Ring of Detection	Bulma Yüzüğü
Wearing this ring will allow the wearer to notice hidden secrets - traps and secret doors - without taking time to search. Degraded rings of detection will dull your senses, making it harder to notice secrets even when actively searching for them.	Bu yüzüğü takmak, takan kişinin gizli sırları - tuzakları ve gizli kapıları - aramaya zaman ayırmadan fark etmesini sağlar. Bozulmuş algılama yüzükleri duyularınızı köreltir ve aktif olarak ararken bile sırları fark etmenizi zorlaştırır.
Ring of Elements	Elementler Yüzüğü
This ring provides resistance to different elements, such as fire, electricity, gases etc. Also it decreases duration of negative effects.	Bu yüzük ateş, elektrik, gazlar gibi farklı elementlere karşı direnç sağlar. Ayrıca olumsuz etkilerin süresini azaltır.
Ring of Evasion	Kaçınma Yüzüğü
This ring increases your chance to dodge enemy attack.	Bu yüzük düşman saldırısından kaçma şansınızı artırır.
Ring of Haggler	Pazarlamacı Yüzüğü
In fact this ring doesn't provide any magic effect, but it demonstrates to shopkeepers and vendors, that the owner of the ring is a member of The Thieves' Guild. Usually they are glad to give a discount in exchange for temporary immunity guarantee. Upgrading this ring won't give any additional bonuses.	Aslında bu yüzük herhangi bir büyü etkisi sağlamaz, ancak dükkan sahiplerine ve satıcılara yüzük sahibinin Hırsızlar Loncası üyesi olduğunu gösterir. Genellikle geçici dokunulmazlık garantisi karşılığında indirim yapmaktan memnuniyet duyarlar. Bu yüzüğü yükseltmek herhangi bir ek bonus sağlamaz.
Ring of Haste	Acele Yüzüğü
This ring accelerates the wearer's flow of time, allowing one to perform all actions a little faster.	Bu yüzük takan kişinin zaman akışını hızlandırarak tüm eylemleri biraz daha hızlı gerçekleştirmesini sağlar.
Ring of Herbalism	Şifalı Bitkiler Yüzüğü
This ring increases your chance to gather dew and seeds from trampled grass.	Bu yüzük çiğnenmiş çimenlerden çiğ ve tohum toplama şansınızı artırır.
Ring of Mending	Onarım Yüzüğü
This ring increases the body's regenerative properties, allowing one to recover lost health at an accelerated rate. Degraded rings will decrease or even halt one's natural regeneration.	Bu yüzük vücudun yenileyici özelliklerini artırarak kişinin kaybettiği sağlığı daha hızlı bir şekilde geri kazanmasını sağlar. Bozulmuş yüzükler kişinin doğal yenilenmesini azaltır, hatta durdurur.
Ring of Power	Güç Yüzüğü
Your wands will become more powerful in the energy field that radiates from this ring. Degraded rings of power will instead weaken your wands.	Asaların bu yüzükten yayılan enerji alanında daha güçlü hale gelecektir. Bozulmuş güç yüzükleri bunun yerine asalarınızı zayıflatacaktır.
Ring of Satiety	Tokluk Yüzüğü
Wearing this ring you can go without food longer. Degraded rings of satiety will cause the opposite effect.	Bu yüzüğü taktığında yemek yemeden daha uzun süre dayanabilirsin. Bozulmuş Tokluk Yüzüğü ise bu etkinin tam tersine sebep olur.
Ring of Shadows	Gölgeler Yüzüğü
Enemies will be less likely to notice you if you wear this ring. Degraded rings of shadows will alert enemies who might otherwise not have noticed your presence.	Bu yüzüğü giydiğinde düşmanların seni daha zor fark eder. Bozulmuş Gölgeler Yüzüğü ise seni normalde fark edemeyecek düşmanların alarma geçmesine sebep olur.
Ring of Thorns	Diken Yüzüğü
Though this ring doesn't provide real thorns, an enemy that attacks you will itself be wounded by a fraction of the damage that it inflicts. Upgrading this ring won't give any additional bonuses.	Bu yüzüğü taktığında sana saldıran düşman kendiside zarar görecektir. Bu yüzüğü yükseltmek ek bir getiri sağlamaz.
scroll "%s"	"%s" parşömen
This parchment is covered with indecipherable writing, and bears a title of rune %s. Who knows what it will do when read aloud?	Bu parşömen çözülemeyen bir yazıyla kaplı ve rün %s başlığını taşıyor. Yüksek sesle okunduğunda ne yapacağını kim bilebilir?
KAUNAN	KAUNAN
SOWILO	SOWILO
LAGUZ	LAGUZ
YNGVI	YNGVI
GYFU	GYFU
RAIDO	RAIDO
ISAZ	ISAZ
MANNAZ	MANNAZ
NAUDIZ	NAUDIZ
BERKANAN	BARKUNA
ODAL	ODAL
TIWAZ	TIWAZ
Select an item	Bir Eşya Seç
Do you really want to cancel this scroll usage? It will be consumed anyway.	Bu parşömen kullanımını gerçekten iptal etmek istiyor musunuz? Her şekilde tüketilecektir.
Yes, I'm positive	Evet, eminim.
Scroll of Challenge	Meydan Okuma Parşömeni
When read aloud, this scroll will unleash a challenging roar that will awaken all monsters and alert them to the reader's location.	Bu parşömen yüksek sesle okunduğunda, tüm canavarları uyandıracak ve onları okuyucunun konumuna karşı uyaracak zorlu bir kükreme çıkarır.
The scroll emits a challenging roar that echoes throughout the dungeon!	Parşömen, zindan boyunca yankılanan zorlu bir kükreme yayar!
Scroll of Identify	Tanımlama Parşömeni
Permanently reveals all of the secrets of a single item.	Tek bir öğenin tüm sırlarını kalıcı olarak açığa çıkarır.
Select an item to identify	Tanımlamak için bir öğe seçin
It is %s	Bu %s
Scroll of Lullaby	Ninni Parşömeni
A soothing melody will put all creatures in your field of view into a deep sleep, giving you a chance to flee or make a surprise attack on them.	Rahatlatıcı bir melodi görüş alanınızdaki tüm yaratıkları derin bir uykuya sokarak size kaçma veya onlara sürpriz bir saldırı yapma şansı verir.
The scroll utters a soothing melody.	Parşömen yatıştırıcı bir melodi söylüyor.
The scroll utters a soothing melody and the %s falls asleep!	Parşömen yatıştırıcı bir melodi söyler ve %s uykuya dalar!
The scroll utters a soothing melody and the monsters fall asleep!	Parşömen yatıştırıcı bir melodi söyler ve canavarlar uykuya dalar!
Scroll of Magic Mapping	Sihirli Haritalama Parşömeni
When this scroll is read, an image of crystal clarity will be etched into your memory, alerting you to the precise layout of the level and revealing all hidden secrets. The locations of items and creatures will remain unknown.	Bu parşömen okunduğunda, kristal netliğinde bir görüntü hafızanıza kazınacak, sizi seviyenin kesin düzeni konusunda uyaracak ve tüm gizli sırları açığa çıkaracaktır. Eşyaların ve yaratıkların yerleri bilinmez olarak kalacaktır.
You are now aware of the level layout.	Artık kat düzeninin farkındasınız.
Scroll of Mirror Image	Ayna Görüntüsü Parşömeni
The incantation on this scroll will create illusionary twins of the reader, which will chase his enemies.	Bu parşömen üzerindeki büyü, okuyucunun düşmanlarını kovalayacak hayali ikizlerini yaratacaktır.
Scroll of Psionic Blast	Psiyonik Patlama Parşömeni
This scroll contains destructive energy, that can be psionically channeled to inflict a massive damage to all creatures within a field of view. An accompanying flash of light will temporarily blind everybody in the area of effect including the reader of the scroll.	Bu parşömen, görüş alanı içindeki tüm yaratıklara büyük bir hasar vermek için psiyonik olarak yönlendirilebilen yıkıcı enerji içerir. Eşlik eden bir ışık parıltısı, parşömeni okuyan kişi de dahil olmak üzere etki alanındaki herkesi geçici olarak kör eder.
Scroll of Recharging	Yeniden Şarj Etme Parşömeni
The raw magical power bound up in this parchment will, when released, recharge all of the reader's wands to full power.	Bu parşömende saklı olan ham büyülü güç, serbest bırakıldığında okuyucunun tüm asalarını tam güçle şarj edecektir.
a surge of energy courses through your pack, recharging your wand	Bir enerji dalgası çantandan geçerek asanı şarj ediyor.
a surge of energy courses through your pack, recharging your wands	Bir enerji dalgası çantanızdan geçerek asalarınızı şarj ediyor.
a surge of energy courses through your pack, but nothing happens	bir enerji dalgası sürünüze doğru ilerliyor, ama hiçbir şey olmuyor
Scroll of Remove Curse	Laneti Kaldırma Parşömeni
The incantation on this scroll will instantly strip from the reader's weapon, armor, rings and carried items any evil enchantments that might prevent the wearer from removing them.	Bu parşömen üzerindeki büyü, okuyucunun silahından, zırhından, yüzüklerinden ve taşıdığı eşyalardan, kullanıcının bunları çıkarmasını engelleyebilecek her türlü kötü büyüyü anında çıkaracaktır.
Your pack glows with a cleansing light, and a malevolent energy disperses.	Çantanız temizleyici bir ışıkla parlıyor ve kötü niyetli bir enerji dağılıyor.
Your pack glows with a cleansing light, but nothing happens.	Çantanız temizleyici bir ışıkla parlıyor ama hiçbir şey olmuyor.
Scroll of Teleportation	ışınlanma parşömeni
The spell on this parchment instantly transports the reader to a random location on the dungeon level. It can be used to escape a dangerous situation, but the unlucky reader might find himself in an even more dangerous place.	Bu parşömen üzerindeki büyü, okuyucuyu anında zindan katında rastgele bir yere götürür. Tehlikeli bir durumdan kaçmak için kullanılabilir, ancak şanssız okuyucu kendini daha da tehlikeli bir yerde bulabilir.
In a blink of an eye you were teleported to another location of the level.	Göz açıp kapayıncaya kadar seviyenin başka bir yerine ışınlandınız.
Strong magic aura of this place prevents you from teleporting!	Bu yerin güçlü büyü aurası ışınlanmanızı engelliyor!
Scroll of Terror	Dehşet Parşömeni
A flash of red light will overwhelm all creatures in your field of view with terror, and they will turn and flee. Attacking a fleeing enemy will dispel the effect.	Kırmızı bir ışık parlaması, görüş alanınızdaki tüm yaratıkları dehşete düşürür ve dönüp kaçarlar. Kaçan bir düşmana saldırmak etkiyi yok eder.
The scroll emits a brilliant flash of red light	Parşömen parlak bir kırmızı ışık yaydı
The scroll emits a brilliant flash of red light and the %s flees!	Parşömen parlak bir kırmızı ışık yaydı ve %s kaçmaya başladı!
The scroll emits a brilliant flash of red light and the monsters flee!	Parşömen parlak bir kırmızı ışık yaydı ve yaratıklar kaçmaya başladı!
Scroll of Upgrade	Yükseltme Parşömeni
This scroll will upgrade a single item, improving its quality. A wand will increase in power and in number of charges; a weapon will inflict more damage or find its mark more frequently; a suit of armor will deflect additional blows; the effect of a ring on its wearer will intensify. Weapons and armor will also require less strength to use, and any curses on the item will be lifted.	Bu parşömen tek bir eşyayı yükselterek kalitesini artırır. Bir asanın gücü ve şarj sayısı artacak; bir silah daha fazla hasar verecek veya hedefini daha sık bulacak; bir zırh daha fazla darbeyi saptıracak; bir yüzüğün takan üzerindeki etkisi yoğunlaşacak. Silahlar ve zırhlar ayrıca kullanmak için daha az güç gerektirecek ve eşyanın üzerindeki lanetler kalkacaktır.
Select an item to upgrade	Geliştirmek için bir eşya seçin
READ	OKU
You can't read a scroll while blinded	Kör edilmişken bir parşömen okuyamazsın. 
%s wand	%s  asa 
ZAP	VUR
This thin %s wand is warm to the touch. Who knows what it will do when used?	Bu ince %s asası eline sıcak bir his veriyor. Kullanıldığında ne etkisi olabileciğini kim bilebilir?
When this wand is used as a melee weapon, its average damage is %d points per hit.	Bu asa yakın mesafede kullanıldığında, ortalama hasarı vuruş başı %d puandır.
You can use this wand as a melee weapon.	Bu asayı yakın mesafede de kullanabilirsin.
your wand fizzles; it must be out of charges for now	asandan vızıltılar geliyor; şarjı bitmiş olmalı
You can't target yourself	Kendini hedef alamazsın.
Choose direction to zap	Vurulacak yönü seçin
holly	çobanpüsküllü
yew	porsukağacı
ebony	abanoz
cherry	kiraz
teak	tikağacı
rowan	üvez
willow	söğüt
mahogany	maun
bamboo	bambu
oak	meşe
birch	huş
Wand of Amok	Dehşet Asası
The purple light from this wand will make the target run amok attacking random creatures in its vicinity.	Bu asadan çıkan mor ışık, hedefin etrafındaki rastgele yaratıklara saldırarak ortalığı birbirine katmasını sağlar.
Wand of Avalanche	Çığ Asası
When a discharge of this wand hits a wall (or any other solid obstacle) it causes an avalanche of stones, damaging and stunning all creatures in the affected area.	Bu asanın bir deşarjı bir duvara (veya başka bir katı engele) çarptığında, etkilenen alandaki tüm yaratıklara zarar veren ve sersemleten bir taş çığına neden olur.
You killed yourself with your own Wand of Avalanche...	Çığ asası ile kendi kendini öldürdün...
Wand of Blink	Işınlanma Asası
This wand will allow you to teleport in the chosen direction. Creatures and inanimate obstructions will block the teleportation.	Bu asa seçilen yöne ışınlanmanızı sağlayacaktır. Yaratıklar ve cansız engeller ışınlanmayı engelleyecektir.
Wand of Disintegration	Parçalama Asası
This wand emits a beam of destructive energy, which pierces all creatures in its way. The more targets it hits, the more damage it inflicts to each of them.	Bu asa yokedici bir enerji ışını yayar. Bu enerji yolu üzerindeki tüm yaratıklara işler, ne kadar çok yaratık varsa verdiği hasar da o kadar artar.
Wand of Firebolt	Ateştopu Asası
This wand unleashes bursts of magical fire. It will ignite flammable terrain, and will damage and burn a creature it hits.	Bu asa yakıcı sihirli bir ateş patlatır. Yanabilir arazide  yangın çıkartır ve dokunduğu yaratığı yakar ve hasar verir.
You killed yourself with your own Wand of Firebolt...	Ateş asası ile kendini öldürdün...
Wand of Flock	Sürü Asası
A flick of this wand summons a flock of magic sheep, creating temporary impenetrable obstacle.	Bu asanın şıklatılması sihirli bir koyun sürüsü yaratır ve bu sürü geçilmez bir engel oluşturur.
sheep	koyun
This is a magic sheep. What's so magical about it? You can't kill it. It will stand there until it magically fades away, all the while chewing cud with a blank stare.	Bu sihirli bir koyun. Ne mi bu kadar büyülü? Onu öldüremezsin. Büyülü bir şekilde yok olana kadar orda duracak, boş bir bakışla geviş getirerek.
Baa!	Mee!
Baa?	Mee?
Baa.	Mee.
Baa...	Mee...
Bee...	Mee...
Ble...	Mle...
Wand of Lightning	Yıldırım Asası
This wand conjures forth deadly arcs of electricity, which deal damage to several creatures standing close to each other.	Bu asa ölümcül bir elektrik akımı üretir.Birbirine yakın olan tüm yaratıklara etki eder.
You killed yourself with your own Wand of Lightning...	Kendi yıldırım asanla kendini vurdun.
Wand of Magic Missile	Sihirli Füze Asası
This wand launches missiles of pure magical energy, dealing moderate damage to a target creature.	Bu asa saf büyü enerjisinden oklar fırlatır. Bu oklar orta seviye hasar verir.
DISENCHANT	BÜYÜYÜ BOZ
You killed yourself with your own Wand of Magic Missile...	Kendi Sihirli Füze Asanla kendini öldürdün.
Select a wand to upgrade	Yükseltmek için bir asa seçin
you disenchanted the Wand of Magic Missile and used its essence to upgrade your %s	Büyülü Füze Asasının büyüsünü bozdun ve özünü kendi %s eşyanı yükseltmek için kullandın
Wand of Poison	Zehir Asası
The vile blast of this twisted bit of wood will imbue its target with a deadly venom. A creature that is poisoned will suffer periodic damage until the effect ends. The duration of the effect increases with the level of the staff.	Bu bükülmüş tahta parçasından çıkan iğrenç patlama, hedefini ölümcül bir zehirle kaplar. Zehirlenen yaratık, etki sona erene kadar periyodik hasara maruz kalır. Etkinin süresi asanın seviyesiyle birlikte artar.
Wand of Regrowth	Yeniden Büyütme Asası
"When life ceases new life always begins to grow... The eternal cycle always remains!"	"Yaşam sona erdiğinde yeni yaşam her zaman büyümeye başlar... Sonsuz döngü her zaman devam eder!"
Wand of Slowness	Yavaşlık Asası
This wand will cause a creature to move and attack at half its ordinary speed until the effect ends	Bu asa etki süresi boyunca hedeflenen yaratığın hızını yarıya indirir
You have magically transported %s into your backpack	%s nesnesini sihirli bir yolla çantan ışınladın
Wand of Teleportation	Işınlanma Asası
A blast from this wand will teleport a creature against its will to a random place on the current level.	Bu asadan çıkan ışın hedefini rastgele bir yere ışınlar.
%1$s teleported %2$s to somewhere	%2$s, %1$s tarafından bir yere ışınlandı
nothing happened	hiçbir şey olmadı
